地段位置或門牌,交易年月,總價(萬元),單價,總面積,主建物佔比,型態,屋齡,樓別/樓高,交易筆棟數,建物現況格局,主要用途
金門城１０３之３號,2022/7/2,600,21.1,28.47,80.60%,公寓(5樓含以下無電梯),1,一層/三層,土:1 建:1車:0,3房2廳2衛,住家用
山前１１之２號３樓,2022/6/23,635,20.3,31.28,88.66%,公寓(5樓含以下無電梯),,三層/三層,土:1 建:1車:0,3房2廳2衛,住家用
金門城１０６之７號三樓,2022/6/8,590,19.6,30.07,81.17%,公寓(5樓含以下無電梯),6,三層/三層,土:1 建:1車:0,3房1廳3衛,住家用
西海路三段１０６巷１７弄５號三樓,2022/5/5,598,15.9,37.66,59.13%,公寓(5樓含以下無電梯),5,三層/三層,土:1 建:1車:1,2房1廳2衛,住家用
民權路１２２巷１弄６號四樓之１,2022/4/29,340,31.3,10.85,75.08%,公寓(5樓含以下無電梯),11,四層/四層,土:1 建:1車:0,1房1廳1衛,住家用
金門城８８之３號,2022/4/29,555,19.8,28.05,81.70%,公寓(5樓含以下無電梯),8,一層/三層,土:1 建:2車:0,3房1廳2衛,住家用
大古崗１２６號,2022/4/19,540,18.6,29,71.70%,公寓(5樓含以下無電梯),2,一層/五層,土:3 建:1車:0,3房2廳2衛,住家用
民權路２２６巷４弄１５號５樓,2022/4/6,780,26.2,29.76,80.42%,公寓(5樓含以下無電梯),13,五層/五層,土:1 建:1車:0,3房2廳2衛,住家用
前水頭１３９之１號二樓,2022/3/30,1390,22.2,62.56,80.43%,公寓(5樓含以下無電梯),10,二層/三層,土:2 建:2車:0,,住家用
庵前４３之５號三樓,2022/3/25,320,22.2,14.44,86.01%,公寓(5樓含以下無電梯),6,三層/三層,土:1 建:1車:0,1房1廳1衛,住家用
大學路５３巷６弄９號二樓,2022/3/25,250,20.8,12.01,71.51%,公寓(5樓含以下無電梯),12,二層/三層,土:2 建:1車:0,1房1廳1衛,住家用
庵前５３之５號二樓,2022/3/4,690,20.9,33.01,87.16%,公寓(5樓含以下無電梯),4,二層/三層,土:1 建:1車:0,3房1廳2衛,住家用
浴井２６號二樓,2022/2/16,600,21.6,27.79,83.62%,公寓(5樓含以下無電梯),4,二層/三層,土:1 建:1車:0,3房2廳2衛,住家用
大學路５３巷６弄１６號,2022/1/19,180,21.6,8.35,75.80%,公寓(5樓含以下無電梯),12,一層/三層,土:2 建:1車:0,1房0廳1衛,住家用
小古崗１９之９號二樓,2022/1/6,580,21,27.62,86.83%,公寓(5樓含以下無電梯),5,二層/三層,土:1 建:1車:0,3房2廳2衛,住家用
金門城３０之９號三樓,2021/11/26,530,17.3,30.63,81.99%,公寓(5樓含以下無電梯),11,三層/三層,土:1 建:1車:0,3房2廳2衛,住家用
富康一村９巷１８號三樓之１,2021/11/16,310,26.4,11.75,64.39%,公寓(5樓含以下無電梯),13,三層/五層,土:1 建:1車:0,1房1廳1衛,住家用
金門城１１３之３號三樓,2021/11/2,370,13.5,27.33,79.98%,公寓(5樓含以下無電梯),9,三層/三層,土:1 建:2車:0,2房1廳2衛,住家用
西海路三段１０６巷１７弄６號二樓,2021/10/6,655,15,43.67,62.32%,公寓(5樓含以下無電梯),5,二層/三層,土:1 建:1車:1,3房2廳2衛,住家用
金門城２５之３號三樓,2021/9/27,209,20.8,10.05,83.44%,公寓(5樓含以下無電梯),6,三層/三層,土:1 建:1車:0,1房1廳1衛,住家用
金門城６８之６號三樓,2021/9/8,455,17.9,25.41,82.93%,公寓(5樓含以下無電梯),5,三層/三層,土:1 建:1車:0,3房1廳2衛,住家用
金門城３０之９號二樓,2021/9/7,495,16.2,30.53,82.25%,公寓(5樓含以下無電梯),11,二層/三層,土:1 建:1車:0,3房2廳2衛,住家用
