地段位置或門牌,交易年月,總價(萬元),單價,總面積,主建物佔比,型態,屋齡,樓別/樓高,交易筆棟數,建物現況格局,主要用途
賢聚４０之３號三樓,2018/5/16,470,20.2,23.27,85.71%,公寓(5樓含以下無電梯),,三層/三層,土:1 建:1車:0,3房2廳2衛,住家用
賢聚４０之３號二樓,2018/5/16,450,19.3,23.27,85.71%,公寓(5樓含以下無電梯),,二層/三層,土:1 建:1車:0,3房2廳2衛,住家用
賢聚４０之５號,2018/5/16,470,20.2,23.27,85.71%,公寓(5樓含以下無電梯),,一層/三層,土:1 建:1車:0,3房2廳2衛,住家用
賢聚４２之７號二樓,2018/5/16,670,19.7,34.06,85.84%,公寓(5樓含以下無電梯),,二層/三層,土:1 建:1車:0,3房2廳2衛,住家用
賢聚４２之７號三樓,2018/5/16,700,20.5,34.06,85.84%,公寓(5樓含以下無電梯),,三層/三層,土:1 建:1車:0,3房2廳2衛,住家用
賢聚４２之８號二樓,2018/5/16,646.5,19,34.06,85.84%,公寓(5樓含以下無電梯),,二層/三層,土:1 建:1車:0,3房2廳2衛,住家用
賢聚４２之８號,2018/5/16,738,21.7,34.06,85.84%,公寓(5樓含以下無電梯),,一層/三層,土:1 建:1車:0,3房2廳2衛,住家用
珠浦西路５０巷７弄３號二樓,2018/5/2,538,22.7,23.68,83.75%,公寓(5樓含以下無電梯),23,二層/四層,土:1 建:1車:0,3房2廳2衛,住家用
後豐港３６之５號,2018/4/24,550,19.1,28.78,84.10%,公寓(5樓含以下無電梯),5,一層/三層,土:3 建:1車:0,2房1廳2衛,住家用
小西門１之１１號二樓,2018/4/18,425,15.9,26.74,79.05%,公寓(5樓含以下無電梯),8,二層/三層,土:0 建:1車:0,3房2廳2衛,住家用
小西門１之１１號三樓,2018/4/18,425,15.9,26.74,79.05%,公寓(5樓含以下無電梯),8,三層/三層,土:0 建:1車:0,3房2廳2衛,住家用
小西門１之１１號,2018/4/18,500,18.7,26.74,79.05%,公寓(5樓含以下無電梯),8,一層/三層,土:0 建:1車:0,3房2廳2衛,住家用
中興路６７巷５之１號三樓,2018/4/2,800,28.1,28.52,86.43%,公寓(5樓含以下無電梯),15,三層/三層,土:1 建:1車:0,3房1廳2衛,住家用
珠浦南路７４巷２１號３樓,2018/3/7,725,23.8,30.43,60.66%,公寓(5樓含以下無電梯),7,三層/四層,土:2 建:2車:0,2房2廳2衛,住家用
小西門４６號２樓,2018/2/6,420,15.2,27.57,93.78%,公寓(5樓含以下無電梯),4,二層/三層,土:1 建:1車:0,3房2廳2衛,住家用
小西門４７號２樓,2018/2/6,420,15.1,27.85,90.78%,公寓(5樓含以下無電梯),4,二層/三層,土:1 建:1車:0,3房2廳2衛,住家用
珠浦南路７４巷３７號四樓,2018/1/11,720,22.2,32.42,77.81%,公寓(5樓含以下無電梯),7,四層/五層,土:1 建:1車:0,3房2廳2衛,住家用
中興路２０５巷１７號四樓,2017/11/22,680,25.8,26.4,82.01%,公寓(5樓含以下無電梯),13,四層/四層,土:1 建:1車:0,3房2廳2衛,住家用
小古崗１９之１０號２樓,2017/11/20,430,13.7,31.44,85.16%,公寓(5樓含以下無電梯),,二層/三層,土:1 建:1車:0,3房2廳2衛,住家用
小古崗１９之１０號,2017/10/30,445,15.3,29.15,91.85%,公寓(5樓含以下無電梯),,一層/三層,土:1 建:1車:0,3房2廳2衛,住家用
小古崗１９之１０號３樓,2017/10/30,450,14.3,31.44,85.16%,公寓(5樓含以下無電梯),,三層/三層,土:1 建:1車:0,3房2廳2衛,住家用
中興路２０５巷１７號四樓,2017/10/11,800,30.3,26.4,82.01%,公寓(5樓含以下無電梯),13,四層/四層,土:1 建:1車:0,3房2廳2衛,住家用
珠浦西路９６巷１５號３樓,2017/9/27,755,24.7,30.62,83.99%,公寓(5樓含以下無電梯),,三層/四層,土:1 建:1車:0,3房2廳2衛,住家用
西海路三段2017巷７弄５號二樓之１,2017/9/13,630,20.6,30.58,79.45%,公寓(5樓含以下無電梯),2,二層/三層,土:2 建:1車:0,3房2廳2衛,住家用
珠浦西路９６巷１５號２樓,2017/9/12,780,24.9,31.33,84.08%,公寓(5樓含以下無電梯),,二層/四層,土:1 建:1車:0,4房2廳2衛,住家用
環島北路一段３８巷１弄５號,2017/6/30,550,28.2,19.49,81.78%,公寓(5樓含以下無電梯),21,一層/三層,土:1 建:1車:0,3房2廳1衛,住家用
小西門８之５號三樓,2017/6/22,570,17,33.51,83.04%,公寓(5樓含以下無電梯),1,三層/三層,土:1 建:1車:0,3房2廳2衛,住家用
珠浦西路９４巷１１之２號４樓,2017/6/22,442,24.7,17.91,70.16%,公寓(5樓含以下無電梯),5,四層/四層,土:1 建:1車:0,1房1廳1衛,住家用
小古崗１７之６號２樓,2017/6/16,483.9,14.8,32.66,82.85%,公寓(5樓含以下無電梯),,二層/三層,土:1 建:1車:0,3房2廳2衛,住家用
西海路三段１０６巷１７弄１０號,2017/5/16,640,18.3,34.89,65.17%,公寓(5樓含以下無電梯),,一層/三層,土:1 建:1車:1,2房2廳2衛,住家用
西海路三段１０６巷１７弄１０號二樓,2017/5/16,635,16.6,38.28,58.68%,公寓(5樓含以下無電梯),,二層/三層,土:1 建:1車:1,2房2廳2衛,住家用
西海路三段１０６巷７弄３號,2017/5/3,690,24.1,28.59,82.67%,公寓(5樓含以下無電梯),1,一層/三層,土:1 建:1車:0,3房2廳2衛,住家用
西海路三段１０６巷１７弄３號,2017/4/26,520,14.9,34.89,65.17%,公寓(5樓含以下無電梯),,一層/三層,土:1 建:1車:1,2房2廳2衛,住家用
西海路三段１０６巷１７弄３號三樓,2017/4/26,600,15.7,38.28,58.68%,公寓(5樓含以下無電梯),,三層/三層,土:1 建:1車:1,2房2廳2衛,住家用
西海路三段１０６巷１７弄５號二樓,2017/4/26,500,13.2,38.02,59.13%,公寓(5樓含以下無電梯),,二層/三層,土:1 建:1車:1,2房2廳2衛,住家用
西海路三段１０６巷１７弄１０號三樓,2017/4/26,530,13.8,38.28,58.68%,公寓(5樓含以下無電梯),,三層/三層,土:1 建:1車:1,2房2廳2衛,住家用
西海路三段１０６巷１７弄９號,2017/4/26,480,13.8,34.89,65.17%,公寓(5樓含以下無電梯),,一層/三層,土:1 建:1車:1,2房2廳2衛,住家用
西海路三段１０６巷１７弄９號二樓,2017/4/26,460,12.1,38.02,59.13%,公寓(5樓含以下無電梯),,二層/三層,土:1 建:1車:1,2房2廳2衛,住家用
西海路三段１０６巷１７弄９號三樓,2017/4/26,460,12.2,37.66,59.13%,公寓(5樓含以下無電梯),,三層/三層,土:1 建:1車:1,2房2廳2衛,住家用
西海路三段１０６巷１７弄７號,2017/4/26,620,15,41.42,65.62%,公寓(5樓含以下無電梯),,一層/三層,土:1 建:1車:1,3房1廳2衛,住家用
西海路三段１０６巷１７弄８號三樓,2017/4/26,680,15.9,42.85,63.66%,公寓(5樓含以下無電梯),,三層/三層,土:1 建:1車:1,3房2廳2衛,住家用
西海路三段１０６巷１７弄７號三樓,2017/4/26,495,11.6,42.66,63.48%,公寓(5樓含以下無電梯),,三層/三層,土:1 建:1車:1,3房1廳2衛,住家用
西海路三段１０６巷１７弄７號二樓,2017/4/26,600,14.1,42.66,63.48%,公寓(5樓含以下無電梯),,二層/三層,土:1 建:1車:1,3房1廳2衛,住家用
西海路三段１０６巷１７弄３號二樓,2017/4/26,600,15.7,38.28,58.68%,公寓(5樓含以下無電梯),,二層/三層,土:1 建:1車:1,2房2廳2衛,住家用
西海路三段１０６巷１７弄５號三樓,2017/4/26,495,13.1,37.66,59.13%,公寓(5樓含以下無電梯),,三層/三層,土:1 建:1車:1,2房2廳2衛,住家用
西海路三段１０６巷１７弄６號,2017/4/26,680,18.2,37.36,65.79%,公寓(5樓含以下無電梯),,一層/三層,土:1 建:1車:0,3房2廳2衛,住家用
後豐港４０-５號,2017/4/10,400,23.9,16.76,90.67%,公寓(5樓含以下無電梯),,一層/三層,土:1 建:1車:0,2房1廳2衛,住家用
後豐港４０-６號２樓,2017/4/10,400,22.5,17.74,85.69%,公寓(5樓含以下無電梯),,二層/三層,土:1 建:1車:0,2房1廳2衛,住家用
後豐港４０之５號二樓,2017/4/10,400,22.5,17.74,85.69%,公寓(5樓含以下無電梯),,二層/三層,土:1 建:1車:0,2房1廳2衛,住家用
後豐港４０之５號三樓,2017/4/6,400,22.5,17.74,85.69%,公寓(5樓含以下無電梯),,三層/三層,土:0 建:1車:0,2房2廳2衛,住家用
後豐港４０之６號三樓,2017/4/6,400,22.5,17.74,85.69%,公寓(5樓含以下無電梯),,三層/三層,土:0 建:1車:0,2房2廳2衛,住家用
古城里金門城３３之３號,2017/1/11,485,18.6,26.08,92.04%,公寓(5樓含以下無電梯),,一層/三層,土:1 建:1車:0,3房2廳2衛,住家用
小西門８之５號,2017/1/4,536,17.2,31.2,89.20%,公寓(5樓含以下無電梯),1,一層/三層,土:1 建:1車:0,3房2廳2衛,住家用
庵前４２之７號,2016/11/18,380,23,16.52,81.76%,公寓(5樓含以下無電梯),3,一層/三層,土:1 建:1車:0,2房1廳1衛,住家用
金門城１０６之８號,2016/11/11,530,18.9,28.04,87.02%,公寓(5樓含以下無電梯),,一層/三層,土:1 建:1車:0,3房2廳2衛,住家用
民權路１２２巷５弄１號４樓,2016/10/27,843,24.6,34.24,71.87%,公寓(5樓含以下無電梯),19,四層/四層,土:1 建:1車:0,8房1廳6衛,住家用
金門城１０６之７號二樓,2016/9/12,480,16,30.07,81.16%,公寓(5樓含以下無電梯),,二層/三層,土:0 建:1車:0,3房2廳2衛,住家用
西海路三段１０６巷７弄６號,2016/9/1,650,21.4,30.41,79.52%,公寓(5樓含以下無電梯),1,一層/三層,土:2 建:1車:0,3房2廳2衛,住家用
小西門８之５號二樓,2016/8/22,570,17,33.51,83.04%,公寓(5樓含以下無電梯),,二層/三層,土:1 建:1車:0,3房2廳2衛,住家用
金門城１０６之８號三樓,2016/7/29,550,18.3,30.07,81.16%,公寓(5樓含以下無電梯),,三層/三層,土:1 建:1車:0,3房2廳2衛,住家用
金門城１０６之７號三樓,2016/7/29,550,18.3,30.07,81.16%,公寓(5樓含以下無電梯),,三層/三層,土:1 建:1車:0,3房2廳2衛,住家用
珠浦西路９４巷１１之２號一樓,2016/7/12,780,28.6,27.26,83.49%,公寓(5樓含以下無電梯),4,一層/四層,土:1 建:1車:0,3房2廳2衛,住家用
珠浦西路９４巷１１之２號二樓,2016/7/2,738,27.1,27.26,83.49%,公寓(5樓含以下無電梯),4,二層/四層,土:1 建:1車:0,3房2廳2衛,住家用
西海路三段１０６巷７弄５號三樓之２,2016/6/24,650,21.7,29.97,81.39%,公寓(5樓含以下無電梯),1,三層/三層,土:2 建:1車:0,3房2廳2衛,住家用
庵前４３之２號二樓,2016/5/24,250,12.5,19.95,88.05%,公寓(5樓含以下無電梯),,二層/三層,土:1 建:1車:0,2房1廳1衛,住家用
西海路三段１０６巷７弄５號三樓之１,2016/5/16,650,20.3,44.5,79.45%,公寓(5樓含以下無電梯),,三層/三層,土:2 建:1車:1,3房2廳2衛,住家用
庵前４３之２號,2016/4/25,365,19.3,18.95,92.69%,公寓(5樓含以下無電梯),,一層/三層,土:1 建:1車:0,2房1廳1衛,住家用
西海路三段１０６巷７弄１號三樓之１,2016/4/13,650,21.2,30.72,79.09%,公寓(5樓含以下無電梯),,三層/三層,土:2 建:1車:0,3房2廳2衛,住家用
西海路三段１０６巷７弄５號,2016/4/1,730,23.3,43.48,81.21%,公寓(5樓含以下無電梯),,一層/三層,土:2 建:1車:1,3房2廳2衛,住家用
西海路三段１０６巷７弄３號二樓,2016/3/31,650,20.8,31.23,77.12%,公寓(5樓含以下無電梯),,二層/三層,土:2 建:1車:0,3房2廳2衛,住家用
西海路三段１０６巷７弄１號二樓之１,2016/3/31,650,21.2,30.72,79.09%,公寓(5樓含以下無電梯),,二層/三層,土:2 建:1車:0,3房2廳2衛,住家用
西海路三段１０６巷７弄５號二樓之２,2016/3/31,650,21.6,30.1,81.01%,公寓(5樓含以下無電梯),,二層/三層,土:2 建:1車:0,3房2廳2衛,住家用
西海路三段１０６巷７弄３號三樓,2016/3/31,685,20.8,46.29,77.11%,公寓(5樓含以下無電梯),,三層/三層,土:2 建:1車:1,3房2廳2衛,住家用
民權路７０巷１１弄１８號３樓,2016/2/4,875,30,29.19,79.55%,公寓(5樓含以下無電梯),4,三層/四層,土:1 建:1車:0,3房1廳2衛,住家用
小西門４７號,2014/12/11,490,17.6,27.89,90.79%,公寓(5樓含以下無電梯),1,一層/三層,土:1 建:1車:0,3房2廳2衛,住家用
環島北路一段３８巷１６弄１號２樓,2014/8/1,480,15.7,30.54,92.69%,公寓(5樓含以下無電梯),19,二層/三層,土:2 建:1車:0,3房2廳2衛,住家用
小西門４６號３樓,2014/8/1,390,14.1,27.57,93.78%,公寓(5樓含以下無電梯),1,三層/三層,土:1 建:1車:0,3房2廳2衛,住家用
小西門４８號３樓,2014/8/1,205,14.9,13.78,,公寓(5樓含以下無電梯),1,三層/三層,土:1 建:1車:0,1房1廳1衛,住家用
小西門４８號,2014/7/30,260,19.6,13.29,,公寓(5樓含以下無電梯),1,一層/三層,土:1 建:1車:0,1房1廳1衛,住家用
珠浦西路６巷２弄１號五樓,2014/7/29,615,24.9,24.65,62.01%,公寓(5樓含以下無電梯),2,五層/七層,土:1 建:1車:0,3房2廳2衛,住家用
環島北路一段３８巷１６弄１號１樓,2014/7/22,620,19.5,31.71,89.25%,公寓(5樓含以下無電梯),19,一層/三層,土:2 建:1車:0,3房2廳2衛,住家用
金城新莊３巷１號,2014/7/3,620,27.9,22.2,100.00%,公寓(5樓含以下無電梯),4,一層/四層,土:1 建:1車:0,3房1廳2衛,住家用
環島北路一段３８巷１弄３號３樓,2014/4/25,660,20.5,32.22,88.89%,公寓(5樓含以下無電梯),18,三層/三層,土:1 建:1車:0,3房2廳2衛,住家用
小西門４９號３樓,2014/4/13,410,15.4,26.6,93.77%,公寓(5樓含以下無電梯),,三層/三層,土:1 建:1車:0,3房2廳2衛,住家用
小西門４７號３樓,2014/4/13,450,16.2,27.85,90.78%,公寓(5樓含以下無電梯),,三層/三層,土:1 建:1車:0,3房2廳2衛,住家用
珠沙里小西門４６號,2014/4/2,380,13.8,27.57,93.78%,公寓(5樓含以下無電梯),,一層/三層,土:1 建:1車:0,3房2廳2衛,住家用
小西門４９號二樓,2014/3/19,420,16,26.23,95.09%,公寓(5樓含以下無電梯),,二層/三層,土:1 建:1車:0,3房2廳2衛,住家用
庵前４２之５號二樓,2014/3/4,365,21.8,16.71,81.97%,公寓(5樓含以下無電梯),,二層/三層,土:1 建:1車:0,2房2廳1衛,住家用
庵前４２之５號三樓,2014/3/4,380,22.7,16.71,81.97%,公寓(5樓含以下無電梯),,三層/三層,土:1 建:1車:0,2房2廳1衛,住家用
庵前４２之６號,2014/3/4,350,21.2,16.52,81.76%,公寓(5樓含以下無電梯),,一層/三層,土:1 建:1車:0,2房2廳1衛,住家用
庵前４２之６號三樓,2014/3/4,350,21.2,16.52,81.76%,公寓(5樓含以下無電梯),,三層/三層,土:1 建:1車:0,2房2廳1衛,住家用
庵前４２之６號二樓,2014/3/4,348,21.1,16.52,81.76%,公寓(5樓含以下無電梯),,二層/三層,土:1 建:1車:0,2房2廳1衛,住家用
庵前４２之７號,2014/3/4,400,24.2,16.52,81.76%,公寓(5樓含以下無電梯),,一層/三層,土:1 建:1車:0,2房2廳1衛,住家用
庵前４２之７號二樓,2014/3/4,350,21.2,16.52,81.76%,公寓(5樓含以下無電梯),,二層/三層,土:1 建:1車:0,2房2廳1衛,住家用
庵前４２之７號三樓,2014/3/4,420,25.4,16.52,81.76%,公寓(5樓含以下無電梯),,三層/三層,土:1 建:1車:0,2房2廳1衛,住家用
庵前４２之８號,2014/3/4,380,22.7,16.71,81.97%,公寓(5樓含以下無電梯),,一層/三層,土:1 建:1車:0,2房2廳1衛,住家用
庵前４２之８號二樓,2014/3/4,350,20.9,16.71,81.97%,公寓(5樓含以下無電梯),,二層/三層,土:1 建:1車:0,2房2廳1衛,住家用
庵前４２之８號三樓,2014/3/4,380,22.7,16.71,81.97%,公寓(5樓含以下無電梯),,三層/三層,土:1 建:1車:0,2房2廳1衛,住家用
庵前４２之５號,2014/3/4,390,23.3,16.71,81.97%,公寓(5樓含以下無電梯),,一層/三層,土:1 建:1車:0,2房2廳1衛,住家用
西海路三段１０６巷１５弄１號三樓,2014/2/26,470,21.1,22.29,84.56%,公寓(5樓含以下無電梯),4,三層/三層,土:2 建:1車:0,3房2廳2衛,住家用
浯江街９巷１號２樓,2014/2/26,680,19.5,34.84,76.03%,公寓(5樓含以下無電梯),1,二層/五層,土:2 建:1車:0,3房2廳2衛,住家用
民族路３２之１號３樓,2013/12/31,525,22.9,22.94,77.10%,公寓(5樓含以下無電梯),18,三層/五層,土:2 建:1車:0,3房1廳1衛,住家用
西海路３段３９巷２弄１８號２樓,2013/10/9,412,13.7,30.07,91.21%,公寓(5樓含以下無電梯),19,二層/三層,土:1 建:1車:0,3房2廳1衛,住家用
珠浦南路７４巷３７號四樓,2013/9/5,900,27.8,32.42,77.81%,公寓(5樓含以下無電梯),3,四層/五層,土:1 建:1車:0,3房2廳2衛,住家用
民族路２１０巷９之１號２樓,2013/8/23,439,20.2,21.68,79.00%,公寓(5樓含以下無電梯),3,二層/四層,土:1 建:1車:0,2房1廳1衛,住家用
珠浦西路２８巷２弄５號三樓,2013/7/17,1000,27,37,80.75%,公寓(5樓含以下無電梯),13,三層/五層,土:1 建:1車:0,3房1廳1衛,住家用
民權路２２６巷４弄６號四樓,2013/7/5,670,19.4,34.52,73.57%,公寓(5樓含以下無電梯),,四層/七層,土:1 建:1車:0,3房2廳2衛,住家用
民權路１２２巷１弄６之１號３樓,2013/7/3,580,25.6,22.7,77.25%,公寓(5樓含以下無電梯),3,三層/四層,土:1 建:1車:0,2房1廳2衛,住家用
珠浦西路２８巷４弄１之１號１樓,2013/6/27,800,30.4,26.28,75.35%,公寓(5樓含以下無電梯),,一層/五層,土:1 建:1車:0,3房1廳2衛,住家用
珠浦西路２８巷４弄１之１號２樓,2013/6/27,670,25.5,26.28,75.35%,公寓(5樓含以下無電梯),,二層/五層,土:1 建:1車:0,3房1廳2衛,住家用
珠浦西路２８巷４弄１之１號３樓,2013/6/27,650,24.7,26.28,75.35%,公寓(5樓含以下無電梯),,三層/五層,土:1 建:1車:0,3房1廳1衛,住家用
珠浦西路２８巷４弄１之１號４樓,2013/6/27,610,23.2,26.28,75.35%,公寓(5樓含以下無電梯),,四層/五層,土:1 建:1車:0,3房1廳2衛,住家用
珠浦西路２８巷４弄１之１號５樓,2013/6/27,610,23.2,26.28,75.35%,公寓(5樓含以下無電梯),,五層/五層,土:1 建:1車:0,3房1廳2衛,住家用
民權路２２６巷４弄１５號５樓,2013/6/26,740,24.9,29.76,80.42%,公寓(5樓含以下無電梯),5,五層/五層,土:1 建:1車:0,3房2廳2衛,住家用
西海路三段１０６巷１６弄１號二樓,2013/4/16,450,17.4,25.92,79.68%,公寓(5樓含以下無電梯),3,二層/三層,土:3 建:1車:0,3房2廳2衛,住家用
金山路２２號,2013/3/12,650,23.2,28.06,83.76%,公寓(5樓含以下無電梯),7,一層/三層,土:1 建:1車:0,3房2廳2衛,住家用
西海路３段８１巷３１號３樓,2013/2/26,261,9.5,27.37,94.36%,公寓(5樓含以下無電梯),18,三層/三層,土:1 建:1車:0,2房2廳1衛,住家用
民權路１２２巷１弄６號四樓之１,2013/2/1,200,18.6,10.73,75.95%,公寓(5樓含以下無電梯),2,四層/四層,土:1 建:1車:0,1房1廳1衛,住家用
環島北路一段３８巷１弄３號３樓,2013/1/18,520,16.1,32.22,88.89%,公寓(5樓含以下無電梯),17,三層/三層,土:1 建:1車:0,3房1廳2衛,住家用
環島北路一段３８巷１弄５號３樓,2013/1/18,505,16.1,31.32,89.25%,公寓(5樓含以下無電梯),17,三層/三層,土:1 建:1車:0,4房0廳4衛,住家用
珠浦西路６巷６弄３號五樓,2012/12/21,440,22.8,19.31,85.56%,公寓(5樓含以下無電梯),3,五層/五層,土:1 建:1車:0,3房2廳1衛,住家用
西海路三段２２巷２３弄６號３樓,2012/12/12,400,15,26.6,100.00%,公寓(5樓含以下無電梯),18,三層/三層,土:2 建:1車:0,3房1廳1衛,住家用
富康一村９巷９號５樓,2012/11/9,510,16.7,30.59,77.37%,公寓(5樓含以下無電梯),14,五層/五層,土:1 建:1車:0,3房2廳2衛,住家用
民權路１８４巷３弄１號２樓,2012/8/6,600,17.7,33.98,81.58%,公寓(5樓含以下無電梯),5,二層/五層,土:1 建:1車:0,3房1廳2衛,住家用
珠浦西路９４巷１１之２號１樓,2012/7/13,450,16.5,27.26,83.49%,公寓(5樓含以下無電梯),,一層/四層,土:1 建:1車:0,3房2廳2衛,住家用
民權路２２６巷２弄１２號五樓之５,2020/4/16,1210,31.2,38.77,68.44%,套房(1房(1廳)1衛),3,五層/十一層,土:2 建:1車:0,3房2廳2衛,住家用
珠浦西路２２號４樓之１,2018/5/4,400,25.6,15.62,79.80%,套房(1房(1廳)1衛),19,四層/五層,土:1 建:1車:0,1房1廳1衛,住家用
慈湖路一段１巷３號二樓,2018/1/17,470,23.9,19.7,52.62%,套房(1房(1廳)1衛),3,二層/三層,土:1 建:1車:0,1房1廳1衛,住家用
慈湖路一段１巷５號二樓,2018/1/17,500,23.8,21.04,50.90%,套房(1房(1廳)1衛),3,二層/三層,土:1 建:1車:0,1房1廳1衛,住家用
民生路２５號五樓之７,2017/11/27,262,20.9,12.52,79.10%,套房(1房(1廳)1衛),17,五層/十二層,土:1 建:1車:0,1房1廳1衛,住家用
庵前４３之５號,2017/4/14,340,23.7,14.36,86.48%,套房(1房(1廳)1衛),1,一層/三層,土:1 建:1車:0,1房1廳1衛,住家用
庵前４３之３號三樓,2016/4/25,265,19.5,13.59,85.56%,套房(1房(1廳)1衛),,三層/三層,土:1 建:1車:0,1房1廳1衛,住家用
庵前４３之３號,2016/4/25,255,20.3,12.54,92.72%,套房(1房(1廳)1衛),,一層/三層,土:1 建:1車:0,1房1廳1衛,住家用
庵前４３之３號二樓,2016/4/25,265,19.5,13.59,85.56%,套房(1房(1廳)1衛),,二層/三層,土:1 建:1車:0,1房1廳1衛,住家用
小西門４８號２樓,2014/4/13,220,14,15.68,77.31%,套房(1房(1廳)1衛),,二層/三層,土:1 建:1車:0,1房1廳1衛,住家用
珠浦西路６巷２弄３－１號三樓,2014/1/22,270,24.6,10.97,77.83%,套房(1房(1廳)1衛),6,三層/四層,土:2 建:1車:0,1房1廳1衛,住家用
大學路５３巷６弄１５號二樓,2013/3/7,165,19.8,8.35,75.80%,套房(1房(1廳)1衛),3,二層/三層,土:2 建:1車:0,1房1廳1衛,住家用
珠浦西路５０巷１１弄１０號二樓之１,2013/2/18,275,23.4,11.75,63.83%,套房(1房(1廳)1衛),4,二層/四層,土:1 建:1車:0,1房1廳1衛,住家用
大學路５３巷６弄１號三樓之２,2012/12/30,140,19.6,7.15,83.21%,套房(1房(1廳)1衛),3,三層/三層,土:2 建:1車:0,1房1廳1衛,住家用
大學路５３巷６弄１６號二樓,2012/12/30,155,18.6,8.35,75.80%,套房(1房(1廳)1衛),3,二層/三層,土:2 建:1車:0,1房1廳1衛,住家用
大學路５３巷６弄１７號二樓,2012/12/30,160,18.7,8.56,76.18%,套房(1房(1廳)1衛),3,二層/三層,土:2 建:1車:0,1房1廳1衛,住家用
大學路５３巷６弄１７號三樓,2012/12/30,160,18.7,8.56,76.18%,套房(1房(1廳)1衛),3,三層/三層,土:2 建:1車:0,1房1廳1衛,住家用
大學路５３巷６弄９號三樓,2012/12/30,175,14.6,12.01,71.51%,套房(1房(1廳)1衛),3,三層/三層,土:2 建:1車:0,1房1廳1衛,住家用
大學路５３巷６弄１７號,2012/12/30,160,18.7,8.56,76.18%,套房(1房(1廳)1衛),3,一層/三層,土:2 建:1車:0,1房1廳1衛,住家用
大學路５３巷６弄１５號三樓,2012/12/3,155,18.6,8.35,75.80%,套房(1房(1廳)1衛),3,三層/三層,土:2 建:1車:0,1房1廳1衛,住家用
大學路５３巷６弄１６號三樓,2012/12/3,155,18.6,8.35,75.80%,套房(1房(1廳)1衛),3,三層/三層,土:2 建:1車:0,1房1廳1衛,住家用
大學路５３巷６弄１０號三樓,2012/12/3,140,19.6,7.15,83.21%,套房(1房(1廳)1衛),3,三層/三層,土:2 建:1車:0,1房1廳1衛,住家用
大學路５３巷６弄１２號三樓,2012/12/3,140,19.8,7.06,82.98%,套房(1房(1廳)1衛),3,三層/三層,土:2 建:1車:0,1房1廳1衛,住家用
大學路５３巷６弄１３號三樓,2012/12/3,140,19.8,7.06,82.98%,套房(1房(1廳)1衛),3,三層/三層,土:2 建:1車:0,1房1廳1衛,住家用
大學路５３巷６弄１１號三樓,2012/12/3,140,19.8,7.06,82.98%,套房(1房(1廳)1衛),3,三層/三層,土:2 建:1車:0,1房1廳1衛,住家用
大學路５３巷６弄１５號,2012/8/30,165,19.8,8.35,75.80%,套房(1房(1廳)1衛),3,一層/三層,土:2 建:1車:0,1房1廳1衛,住家用
民權路２２６巷２弄１２號五樓之１,2022/12/9,1060,26.5,47.17,67.49%,住宅大樓(11層含以上有電梯),6,五層/十一層,土:2 建:1車:1,3房2廳2衛,住家用
民權路２２６巷２弄１２號三樓之３,2022/4/29,1280,30.4,48.21,68.44%,住宅大樓(11層含以上有電梯),5,三層/十一層,土:2 建:1車:1,3房2廳2衛,住家用
民權路２２６巷２弄１２號七樓之２,2022/1/18,850,45.1,26.05,70.74%,住宅大樓(11層含以上有電梯),5,七層/十一層,土:2 建:1車:1,2房2廳1衛,住家用
民權路２２６巷２弄１２號四樓之１,2021/12/1,1080,27,45.69,67.50%,住宅大樓(11層含以上有電梯),5,四層/十一層,土:2 建:1車:1,3房2廳2衛,住家用
民權路２２６巷２弄１２號六樓之２,2021/11/24,830,28,36.97,70.73%,住宅大樓(11層含以上有電梯),5,六層/十一層,土:2 建:1車:1,2房2廳1衛,住家用
民權路２２６巷２弄１２號四樓之７,2021/11/9,1000,27.6,36.25,67.50%,住宅大樓(11層含以上有電梯),5,四層/十一層,土:2 建:1車:0,3房2廳2衛,住家用
民權路２２６巷２弄１２號六樓之６,2021/9/14,742,28.5,26.05,70.74%,住宅大樓(11層含以上有電梯),5,六層/十一層,土:2 建:1車:0,2房2廳1衛,住家用
民權路２２６巷２弄１２號四樓之２,2021/9/8,800,30.7,26.05,70.74%,住宅大樓(11層含以上有電梯),5,四層/十一層,土:2 建:1車:0,2房2廳1衛,住家用
民權路２２６巷２弄１２號六樓之１,2021/4/7,20225,28,47.17,67.49%,住宅大樓(11層含以上有電梯),4,六層/十一層,土:2 建:1車:1,3房2廳2衛,住家用
民權路２２６巷２弄１２號三樓之１,2021/4/7,1238,30,48.83,64.54%,住宅大樓(11層含以上有電梯),4,三層/十一層,土:2 建:1車:1,3房2廳2衛,住家用
民權路２２６巷２弄１２號三樓之７,2021/4/7,1338,30,59.76,64.54%,住宅大樓(11層含以上有電梯),4,三層/十一層,土:2 建:1車:2,3房2廳2衛,住家用
民權路２２６巷２弄１２號七樓之６,2021/3/17,780,29.9,26.05,70.74%,住宅大樓(11層含以上有電梯),4,七層/十一層,土:2 建:1車:0,2房2廳1衛,住家用
民權路２２６巷２弄１２號三樓之６,2021/3/12,750,28.8,26.05,70.75%,住宅大樓(11層含以上有電梯),4,三層/十一層,土:2 建:1車:0,2房2廳1衛,住家用
民權路２２６巷２弄１２號七樓之１,2021/3/2,1100,31,35.83,68.31%,住宅大樓(11層含以上有電梯),4,七層/十一層,土:2 建:1車:0,3房2廳2衛,住家用
