地段位置或門牌,交易年月,總價(萬元),單價,總面積,主建物佔比,型態,樓別/樓高
西海路三段３９巷２弄３號二樓,2022/11/1,660.0,20.5,32.21,73.74,華廈(10層含以下有電梯),二層/五層
民權路１２２巷１弄６之１號四樓之１,2022/10/26,350.0,32.2,10.85,75.08,公寓(5樓含以下無電梯),四層/四層
小古崗１９之９號三樓,2022/10/26,560.0,20.3,27.62,86.83,公寓(5樓含以下無電梯),三層/三層
金門城１１３之３號,2022/10/20,375.0,15.2,24.7,88.50,公寓(5樓含以下無電梯),一層/三層
山前１１之１號２樓,2022/10/11,700.0,22.4,31.28,88.66,公寓(5樓含以下無電梯),二層/三層
金門城２２８號三樓,2022/10/6,490.0,20.8,23.5,73.75,華廈(10層含以下有電梯),三層/五層
山前１１之２號２樓,2022/10/5,613.0,19.6,31.28,88.66,公寓(5樓含以下無電梯),二層/三層
民權路１２２巷１弄６號二樓,2022/10/3,630.0,28.3,22.23,78.87,公寓(5樓含以下無電梯),二層/四層
中興路１６１巷７號２樓,2022/10/1,740.0,20.9,35.46,87.54,公寓(5樓含以下無電梯),二層/五層
西海路三段３９巷２弄５號五樓,2022/9/27,680.0,21.1,32.16,73.70,華廈(10層含以下有電梯),五層/五層
金門城１０３之５號二樓,2022/9/23,590.0,18.9,31.22,73.48,華廈(10層含以下有電梯),二層/三層
金門城８９之２號三樓,2022/9/14,460.0,20.6,22.38,85.22,公寓(5樓含以下無電梯),三層/三層
金門城３０之１號二樓,2022/9/6,600.0,19.8,30.35,82.74,公寓(5樓含以下無電梯),二層/三層
山前１１之２號１樓,2022/9/1,648.0,21.4,30.29,91.56,公寓(5樓含以下無電梯),一層/三層
金門城１０３之３號二樓,2022/8/26,590.0,18.9,31.22,73.48,華廈(10層含以下有電梯),二層/三層
西海路三段３９巷２弄２號四樓,2022/8/24,660.0,20.5,32.16,73.70,華廈(10層含以下有電梯),四層/五層
山前１１之１號３樓,2022/8/18,750.0,24.0,31.28,88.66,公寓(5樓含以下無電梯),三層/三層
金山路１２１巷１６弄２２號二樓,2022/8/17,870.0,21.6,40.19,80.55,公寓(5樓含以下無電梯),二層/三層
珠浦西路２８巷２弄５號三樓,2022/7/29,900.0,24.3,37.0,80.75,華廈(10層含以下有電梯),三層/五層
金門城１０６之１０號三樓,2022/7/8,520.0,20.6,25.2,73.11,公寓(5樓含以下無電梯),三層/五層
環島北路一段３８巷１弄５號３樓,2022/7/7,690.0,19.8,34.88,80.16,公寓(5樓含以下無電梯),三層/三層
金門城２２７號,2022/7/5,535.0,22.8,23.5,73.75,華廈(10層含以下有電梯),一層/五層
金門城１０３之３號,2022/7/2,600.0,21.1,28.47,80.60,公寓(5樓含以下無電梯),一層/三層
金門城１０３之３號三樓,2022/6/26,600.0,19.2,31.22,73.48,華廈(10層含以下有電梯),三層/三層
山前１１之２號３樓,2022/6/23,635.0,20.3,31.28,88.66,公寓(5樓含以下無電梯),三層/三層
金門城１０６之１０號四樓,2022/6/10,580.0,23.0,25.2,73.11,華廈(10層含以下有電梯),四層/五層
金門城１０６之７號三樓,2022/6/8,590.0,19.6,30.07,81.17,公寓(5樓含以下無電梯),三層/三層
中興路２０５巷６號六樓,2022/6/3,940.0,26.1,36.01,72.58,華廈(10層含以下有電梯),六層/七層
山前２之２號５樓,2022/5/12,670.0,23.3,28.74,77.59,華廈(10層含以下有電梯),五層/五層
