地段位置或門牌,交易年月,總價(萬元),單價,總面積,主建物佔比,型態,樓別/樓高
浴井５５號三樓,2020/5/17,615.0,19.1,32.15,73.92,華廈(10層含以下有電梯),三層/四層
民權路２２６巷２弄１２號九樓之２,2020/5/12,1670.0,32.4,59.4,67.21,住宅大樓(11層含以上有電梯),九層/十一層
珠浦西路２８巷４弄１之１號３樓,2020/5/10,800.0,30.4,26.28,75.35,公寓(5樓含以下無電梯),三層/五層
東沙１３之１號二樓,2020/5/5,480.0,17.0,28.31,86.74,公寓(5樓含以下無電梯),二層/三層
金門城１０６之８號,2020/4/28,510.0,18.2,28.04,87.02,公寓(5樓含以下無電梯),一層/三層
民權路２２６巷２弄１２號五樓之３,2020/4/16,1210.0,31.2,38.77,68.44,住宅大樓(11層含以上有電梯),五層/十一層
民權路２２６巷２弄１２號五樓之５,2020/4/16,1210.0,31.2,38.77,68.44,套房(1房(1廳)1衛),五層/十一層
民權路２２６巷２弄１２號五樓之６,2020/4/16,810.0,31.1,26.05,70.74,住宅大樓(11層含以上有電梯),五層/十一層
庵前４２之２號二樓,2020/4/7,650.0,18.1,35.81,74.96,華廈(10層含以下有電梯),二層/五層
中興路２０５巷１８號六樓,2020/4/6,405.0,24.4,16.59,79.19,華廈(10層含以下有電梯),六層/七層
金門城６８之７號,2020/4/2,444.0,19.2,23.12,92.01,公寓(5樓含以下無電梯),一層/三層
大古崗１２６號三樓,2020/4/1,600.0,19.9,30.17,68.91,華廈(10層含以下有電梯),三層/五層
庵前４２之２號三樓,2020/3/26,688.0,19.2,35.81,74.96,華廈(10層含以下有電梯),三層/五層
環島北路一段３８巷１弄７號,2020/3/17,1038.0,56.5,18.38,80.67,公寓(5樓含以下無電梯),一層/三層
環島北路一段３８巷１弄９號,2020/3/17,1000.0,56.6,17.68,79.91,公寓(5樓含以下無電梯),一層/三層
浴井５５號,2020/3/9,620.0,19.3,32.15,73.92,華廈(10層含以下有電梯),一層/四層
賢聚４０之３號,2020/3/5,400.0,17.2,23.27,85.71,公寓(5樓含以下無電梯),一層/三層
賢聚４２之６號,2020/3/3,600.0,20.2,29.65,79.99,華廈(10層含以下有電梯),一層/四層
浯江路１８號３樓,2020/3/1,530.0,20.3,26.17,86.42,公寓(5樓含以下無電梯),三層/三層
小西門４７號二樓,2020/2/23,450.0,16.2,27.85,90.78,公寓(5樓含以下無電梯),二層/三層
金門城２０５號三樓,2020/2/18,530.0,18.9,27.98,76.39,華廈(10層含以下有電梯),三層/五層
金門城２０３號三樓,2020/2/18,400.0,19.0,21.0,81.05,華廈(10層含以下有電梯),三層/五層
大古崗９６之２號三樓,2020/2/11,500.0,18.5,27.08,76.20,華廈(10層含以下有電梯),三層/五層
珠浦南路７４巷１０之２號三樓,2020/2/5,650.0,22.8,28.53,82.29,公寓(5樓含以下無電梯),三層/四層
小西門５０之５號三樓,2020/2/4,560.0,18.2,30.69,81.43,公寓(5樓含以下無電梯),三層/三層
浴井５１號二樓,2020/2/3,600.0,19.8,30.27,79.96,華廈(10層含以下有電梯),二層/五層
浴井５２號四樓,2020/2/3,640.0,21.5,29.81,80.62,華廈(10層含以下有電梯),四層/五層
浴井５２號三樓,2020/2/3,600.0,20.1,29.81,80.62,華廈(10層含以下有電梯),三層/五層
浴井５１號三樓,2020/2/3,640.0,21.1,30.27,79.96,華廈(10層含以下有電梯),三層/五層
浴井５２號二樓,2020/2/3,640.0,21.5,29.81,80.62,華廈(10層含以下有電梯),二層/五層
金門城２０５號五樓,2020/1/21,550.0,19.7,27.98,76.39,華廈(10層含以下有電梯),五層/五層
浴井８３號二樓,2020/1/18,560.0,21.3,26.28,82.36,公寓(5樓含以下無電梯),二層/三層
小西門５０之６號三樓,2020/1/17,510.0,19.3,26.44,79.05,公寓(5樓含以下無電梯),三層/三層
金門城８２之８號三樓,2020/1/16,475.0,15.6,30.42,85.25,公寓(5樓含以下無電梯),三層/三層
浴井８３號三樓,2020/1/16,580.0,22.1,26.28,82.36,公寓(5樓含以下無電梯),三層/三層
浴井８５號三樓,2020/1/10,540.0,23.6,22.9,81.04,公寓(5樓含以下無電梯),三層/三層
民權路２２６巷２弄１２號三樓之５,2019/12/25,1228.0,31.7,38.77,68.44,住宅大樓(11層含以上有電梯),三層/十一層
西海路三段１０６巷７弄１號二樓之１,2019/12/24,660.0,21.6,30.58,79.45,公寓(5樓含以下無電梯),二層/三層
大古崗１２６號,2019/12/21,525.0,18.1,29.0,71.70,華廈(10層含以下有電梯),一層/五層
金門城５之１１號,2019/12/20,400.0,20.4,19.58,,公寓(5樓含以下無電梯),一層/三層
珠浦西路２２號５樓,2019/12/12,620.0,25.1,24.68,78.17,公寓(5樓含以下無電梯),五層/五層
環島北路一段３８巷１６弄２號３樓,2019/11/24,580.0,18.3,31.72,89.24,公寓(5樓含以下無電梯),三層/三層
小西門５０之３號三樓,2019/11/19,500.0,18.9,26.44,79.05,公寓(5樓含以下無電梯),三層/三層
小西門４６號二樓,2019/11/10,450.0,16.3,27.57,93.78,公寓(5樓含以下無電梯),二層/三層
庵前４３之５號二樓,2019/11/8,310.0,21.5,14.44,86.01,公寓(5樓含以下無電梯),二層/三層
山前６５號三樓,2019/11/6,500.0,20.0,25.01,75.86,公寓(5樓含以下無電梯),三層/三層
金門城２０６號二樓,2019/10/29,530.0,18.7,28.32,75.00,華廈(10層含以下有電梯),二層/五層
金門城２０６號五樓,2019/10/24,493.0,17.4,28.32,75.00,華廈(10層含以下有電梯),五層/五層
浴井８５號二樓,2019/10/21,510.0,22.3,22.92,80.96,公寓(5樓含以下無電梯),二層/三層
金門城３３號３樓,2019/10/15,500.0,17.6,28.38,84.56,公寓(5樓含以下無電梯),三層/三層
庵前４２之２號四樓,2019/10/15,660.0,18.4,35.81,74.96,華廈(10層含以下有電梯),四層/五層
大古崗９６之１號五樓,2019/10/8,601.0,17.5,34.36,79.30,華廈(10層含以下有電梯),五層/五層
大古崗９６之２號五樓,2019/10/3,550.0,20.3,27.08,76.20,華廈(10層含以下有電梯),五層/五層
大古崗９６之３號三樓,2019/10/3,590.0,16.7,35.31,75.02,華廈(10層含以下有電梯),三層/五層
大古崗９６之２號四樓,2019/10/3,460.0,17.0,27.08,76.20,華廈(10層含以下有電梯),四層/五層
大古崗９６之１號二樓,2019/10/3,687.0,20.0,34.36,79.30,華廈(10層含以下有電梯),二層/五層
大古崗９６之３號,2019/10/3,656.0,19.1,34.37,80.24,華廈(10層含以下有電梯),一層/五層
大古崗９６之３號二樓,2019/10/3,620.0,17.6,35.31,75.02,華廈(10層含以下有電梯),二層/五層
大古崗９６之３號四樓,2019/10/3,620.0,17.6,35.31,75.02,華廈(10層含以下有電梯),四層/五層
大古崗９６之２號三樓,2019/10/3,500.0,18.5,27.08,76.20,華廈(10層含以下有電梯),三層/五層
大古崗９６之１號四樓,2019/10/3,580.0,16.9,34.36,79.30,華廈(10層含以下有電梯),四層/五層
大古崗９６之２號二樓,2019/10/3,500.0,18.5,27.08,76.20,華廈(10層含以下有電梯),二層/五層
大古崗９６之２號,2019/10/3,500.0,19.1,26.14,80.31,華廈(10層含以下有電梯),一層/五層
大古崗９６之３號五樓,2019/9/26,548.0,15.5,35.31,75.02,華廈(10層含以下有電梯),五層/五層
民生路４５巷３號四樓,2019/9/24,660.0,25.3,26.14,85.97,公寓(5樓含以下無電梯),四層/四層
小西門４７號,2019/9/21,500.0,17.9,27.89,90.79,公寓(5樓含以下無電梯),一層/三層
小古崗３３之８號二樓,2019/9/20,480.0,17.2,27.93,76.84,公寓(5樓含以下無電梯),二層/三層
小西門５之１號三樓,2019/9/17,370.0,13.8,26.87,82.32,公寓(5樓含以下無電梯),三層/三層
浴井３６號,2019/9/16,455.0,20.7,21.94,87.12,公寓(5樓含以下無電梯),一層/三層
小古崗３３之７號三樓,2019/9/11,506.0,19.5,25.93,83.15,公寓(5樓含以下無電梯),三層/三層
小古崗３３之６號三樓,2019/9/11,506.0,19.4,26.12,83.28,公寓(5樓含以下無電梯),三層/三層
金門城２０３號四樓,2019/8/30,390.0,18.6,21.0,81.05,華廈(10層含以下有電梯),四層/五層
金門城２０３號五樓,2019/8/30,357.0,17.0,21.0,81.05,華廈(10層含以下有電梯),五層/五層
金門城２０６號四樓,2019/8/30,560.0,19.8,28.32,75.00,華廈(10層含以下有電梯),四層/五層
金門城２０３號,2019/8/30,450.0,21.4,21.0,81.05,華廈(10層含以下有電梯),一層/五層
金門城３３之３號三樓,2019/8/7,490.0,17.3,28.38,84.56,公寓(5樓含以下無電梯),三層/三層
環島北路一段３８巷１６弄５號,2019/7/28,660.0,20.9,31.64,89.46,公寓(5樓含以下無電梯),一層/三層
賢聚４２之８號三樓,2019/7/23,670.0,19.7,34.06,85.84,公寓(5樓含以下無電梯),三層/三層
小古崗１９之９號,2019/7/10,580.0,22.2,26.09,91.93,公寓(5樓含以下無電梯),一層/三層
賢安里浴井３２號,2019/7/8,450.0,20.9,21.58,93.27,公寓(5樓含以下無電梯),一層/三層
民權路２２６巷５弄２２號５樓,2019/7/4,910.0,29.0,31.43,78.69,華廈(10層含以下有電梯),五層/五層
賢聚４２之５號二樓,2019/7/3,650.0,20.9,31.09,76.29,華廈(10層含以下有電梯),二層/四層
金門城２０６號三樓,2019/7/3,541.0,19.1,28.32,75.00,華廈(10層含以下有電梯),三層/五層
小古崗３３之７號二樓,2019/6/30,460.0,17.7,25.93,83.15,公寓(5樓含以下無電梯),二層/三層
小古崗３３之７號,2019/6/28,510.0,19.7,25.93,83.15,公寓(5樓含以下無電梯),一層/三層
浴井３１號三樓,2019/6/24,460.0,19.8,23.25,84.91,公寓(5樓含以下無電梯),三層/三層
民權路１２２巷５弄８之２號二樓,2019/6/17,282.0,24.8,11.35,55.97,華廈(10層含以下有電梯),二層/五層
民權路１２２巷５弄８之２號三樓,2019/6/17,282.0,24.8,11.35,55.97,華廈(10層含以下有電梯),三層/五層
民權路１２２巷５弄８之２號四樓,2019/6/17,282.0,24.8,11.35,55.97,華廈(10層含以下有電梯),四層/五層
古城里金門城３３之３號２樓,2019/6/17,450.0,15.9,28.38,84.56,公寓(5樓含以下無電梯),二層/三層
山前６５號二樓,2019/6/15,500.0,20.0,25.01,75.86,公寓(5樓含以下無電梯),二層/三層
民生路２５號六樓之７,2019/6/13,700.0,27.5,25.42,,辦公商業大樓,六層/十二層
金門城８８之１０號二樓,2019/6/6,490.0,18.6,26.41,77.50,華廈(10層含以下有電梯),二層/五層
金門城８８之９號三樓,2019/5/25,449.0,19.1,23.56,80.58,華廈(10層含以下有電梯),三層/五層
珠浦西路６巷６弄３號二樓,2019/5/24,680.0,28.5,23.82,82.24,公寓(5樓含以下無電梯),二層/五層
東沙１３之１號三樓,2019/5/15,400.0,14.1,28.31,86.74,公寓(5樓含以下無電梯),三層/三層
浴井３１號,2019/5/8,470.0,20.2,23.25,84.91,公寓(5樓含以下無電梯),一層/三層
珠浦南路７４巷２９之１號二樓,2019/4/19,478.0,24.2,19.77,75.23,華廈(10層含以下有電梯),二層/五層
浯江北堤路１６號７樓之３,2019/4/15,660.0,22.2,29.68,62.38,華廈(10層含以下有電梯),七層/七層
小西門４０號,2019/4/12,412.0,22.4,18.41,83.53,公寓(5樓含以下無電梯),一層/三層
珠浦南路５０巷３弄７號四樓,2019/3/27,360.0,22.2,16.2,63.14,華廈(10層含以下有電梯),四層/五層
西海路三段１０６巷１３弄５號３樓,2019/3/27,660.0,20.5,32.25,74.27,華廈(10層含以下有電梯),三層/五層
珠浦南路４４巷１２弄９號二樓之２,2019/3/26,350.0,39.8,8.79,65.91,華廈(10層含以下有電梯),二層/四層
浴井７９號二樓,2019/3/19,730.0,19.4,37.67,87.95,公寓(5樓含以下無電梯),二層/三層
金門城１１６之３號,2019/3/15,500.0,15.9,31.51,87.95,公寓(5樓含以下無電梯),一層/三層
珠浦西路５０巷１１弄１０號二樓之２,2019/3/15,262.0,21.1,12.41,65.77,公寓(5樓含以下無電梯),二層/四層
金門城８８之８號二樓,2019/3/15,630.0,18.9,33.33,80.34,華廈(10層含以下有電梯),二層/五層
小西門５０之６號二樓,2019/3/14,436.0,16.5,26.44,76.73,公寓(5樓含以下無電梯),二層/三層
西海路三段１０６巷１３弄２號３樓,2019/3/14,690.0,20.4,33.78,75.90,華廈(10層含以下有電梯),三層/五層
西海路三段１０６巷１３弄３號３樓,2019/3/14,685.0,20.8,32.94,76.40,華廈(10層含以下有電梯),三層/五層
西海路三段１０６巷１３弄１號３樓,2019/3/14,690.0,20.3,34.01,76.07,華廈(10層含以下有電梯),三層/五層
西海路三段１０６巷１３弄１號４樓,2019/3/14,700.0,20.6,34.01,76.07,華廈(10層含以下有電梯),四層/五層
西海路三段１０６巷１３弄２號４樓,2019/3/14,692.5,20.5,33.78,75.90,華廈(10層含以下有電梯),四層/五層
西海路三段１０６巷１３弄５號４樓,2019/3/14,672.5,20.9,32.25,74.27,華廈(10層含以下有電梯),四層/五層
珠浦南路５０巷３弄６號四樓,2019/3/12,362.0,21.4,16.94,63.52,華廈(10層含以下有電梯),四層/五層
金門城１６９之９號二樓,2019/3/8,575.0,17.2,33.34,87.41,公寓(5樓含以下無電梯),二層/三層
西海路三段１０６巷１３弄３號４樓,2019/3/7,680.0,20.6,32.94,76.40,華廈(10層含以下有電梯),四層/五層
小西門５０之３號二樓,2019/2/25,439.4,16.6,26.44,76.73,公寓(5樓含以下無電梯),二層/三層
小西門５０之５號二樓,2019/2/25,510.0,16.6,30.69,80.00,公寓(5樓含以下無電梯),二層/三層
西海路三段１０６巷１３弄５號五樓,2019/2/22,690.0,21.4,32.25,74.27,華廈(10層含以下有電梯),五層/五層
西海路三段１０６巷１３弄３號五樓,2019/2/22,690.0,20.9,32.94,76.40,華廈(10層含以下有電梯),五層/五層
光前路７６巷１號四樓,2019/2/21,750.0,23.5,31.91,60.69,華廈(10層含以下有電梯),四層/七層
小古崗３３之６號,2019/2/20,518.0,19.8,26.12,83.28,公寓(5樓含以下無電梯),一層/三層
小西門５０之２號二樓,2019/2/18,510.0,16.6,30.69,80.00,公寓(5樓含以下無電梯),二層/三層
民權路２２６巷２弄１２號十樓之２,2019/1/25,1842.0,38.0,48.48,67.21,住宅大樓(11層含以上有電梯),十層/十一層
小古崗３３之６號二樓,2019/1/22,470.0,18.0,26.12,83.28,公寓(5樓含以下無電梯),二層/三層
民權路１２２巷５弄８之２號二樓,2019/1/5,282.0,24.8,11.35,55.97,華廈(10層含以下有電梯),二層/五層
民權路１２２巷５弄８之２號三樓,2019/1/5,282.0,24.8,11.35,55.97,華廈(10層含以下有電梯),三層/五層
民權路１２２巷５弄８之２號四樓,2019/1/5,282.0,24.8,11.35,55.97,華廈(10層含以下有電梯),四層/五層
東沙１３之１號,2018/12/31,500.0,17.7,28.31,86.74,公寓(5樓含以下無電梯),一層/三層
金門城７３之３號３樓之１,2018/12/22,400.0,20.4,19.65,83.65,公寓(5樓含以下無電梯),三層/三層
賢聚４２之５號三樓,2018/12/13,660.0,21.2,31.09,76.29,華廈(10層含以下有電梯),三層/四層
西海路三段７２巷３弄１６號,2018/11/19,325.0,14.1,23.02,96.93,公寓(5樓含以下無電梯),一層/二層
西海路三段３９巷２弄１６號３樓,2018/11/4,430.0,14.5,29.69,91.09,公寓(5樓含以下無電梯),三層/三層
賢聚４０之５號二樓,2018/10/26,526.0,22.6,23.27,85.71,公寓(5樓含以下無電梯),二層/三層
金門城８８之１０號五樓,2018/10/24,532.0,20.1,26.41,77.50,華廈(10層含以下有電梯),五層/五層
浴井８６號,2018/10/23,660.0,23.9,27.59,88.45,公寓(5樓含以下無電梯),一層/三層
金門城１０６之９號二樓,2018/10/1,488.0,19.4,25.2,73.11,公寓(5樓含以下無電梯),二層/五層
小西門３９號三樓,2018/9/26,380.0,19.6,19.36,76.02,公寓(5樓含以下無電梯),三層/三層
小西門３９號,2018/9/26,412.0,22.7,18.16,81.06,公寓(5樓含以下無電梯),一層/三層
小西門４０號三樓,2018/9/26,375.0,18.6,20.14,76.33,公寓(5樓含以下無電梯),三層/三層
小西門４０號二樓,2018/9/26,370.0,18.4,20.14,76.33,公寓(5樓含以下無電梯),二層/三層
小西門３９號二樓,2018/9/26,365.0,18.9,19.36,76.02,公寓(5樓含以下無電梯),二層/三層
浴井３５號,2018/9/22,470.0,20.3,23.11,92.63,公寓(5樓含以下無電梯),一層/三層
珠浦南路７４巷２７號５樓,2018/9/21,750.0,29.1,25.74,76.82,華廈(10層含以下有電梯),五層/五層
金門城８８之１０號三樓,2018/9/20,515.0,19.5,26.41,77.50,華廈(10層含以下有電梯),三層/五層
浴井３３號,2018/9/16,516.0,22.8,22.64,88.79,公寓(5樓含以下無電梯),一層/三層
西海路三段３９巷２弄１７號１樓,2018/9/15,510.0,17.2,29.69,91.09,公寓(5樓含以下無電梯),一層/三層
小西門１之１１號二樓,2018/9/13,425.0,15.9,26.74,79.05,公寓(5樓含以下無電梯),二層/三層
西海路三段２２巷２３弄４號２樓,2018/9/13,380.0,13.6,28.01,93.01,公寓(5樓含以下無電梯),二層/三層
金門城１０６之９號三樓,2018/9/10,460.0,18.3,25.2,73.11,公寓(5樓含以下無電梯),三層/五層
民權路２２６巷２弄１２號九樓之３,2018/9/10,1750.0,32.0,70.32,67.20,住宅大樓(11層含以上有電梯),九層/十一層
珠浦南路４４巷１２弄９號三樓之２,2018/9/5,350.0,39.8,8.79,65.91,華廈(10層含以下有電梯),三層/四層
民族路３２之１號,2018/9/3,1150.0,25.1,45.88,77.09,公寓(5樓含以下無電梯),一層/五層
金門城１５９之９號,2018/8/22,190.0,23.1,8.22,86.83,公寓(5樓含以下無電梯),一層/三層
浴井７９號,2018/8/20,770.0,22.0,34.98,94.72,公寓(5樓含以下無電梯),一層/三層
浴井７８號二樓,2018/7/28,780.0,20.7,37.67,87.95,公寓(5樓含以下無電梯),二層/三層
民權路２２６巷２弄１２號十樓之５,2018/7/20,1850.0,38.0,48.71,66.85,住宅大樓(11層含以上有電梯),十層/十一層
民權路２２６巷２弄１２號十樓之３,2018/7/20,1842.0,38.0,48.48,67.21,住宅大樓(11層含以上有電梯),十層/十一層
民權路２２６巷２弄１２號八樓之３,2018/7/19,1730.0,33.4,59.66,67.24,住宅大樓(11層含以上有電梯),八層/十一層
賢聚４２之６號二樓,2018/7/10,610.0,19.6,31.09,76.29,華廈(10層含以下有電梯),二層/四層
金門城１０６之１０號四樓,2018/7/10,480.0,19.1,25.2,73.11,公寓(5樓含以下無電梯),四層/五層
賢聚４０之５號三樓,2018/7/10,450.0,19.3,23.27,85.71,公寓(5樓含以下無電梯),三層/三層
民權路２２６巷４弄１５號３樓,2018/7/2,800.0,26.9,29.76,80.42,公寓(5樓含以下無電梯),三層/五層
珠浦南路４４巷１２弄９號三樓之１,2018/6/25,600.0,26.4,22.76,64.54,華廈(10層含以下有電梯),三層/四層
民權路２２６巷４弄１５號４樓,2018/6/22,800.0,26.9,29.76,80.42,公寓(5樓含以下無電梯),四層/五層
珠浦南路４４巷１２弄９號四樓之１,2018/6/4,900.0,33.2,27.15,65.44,華廈(10層含以下有電梯),"四層,見其他登記事項/四層"
珠浦南路４４巷１２弄９號四樓之２,2018/6/4,520.0,46.8,11.1,68.53,華廈(10層含以下有電梯),"四層,見其他登記事項/四層"
賢聚４２之７號,2018/5/16,750.0,22.0,34.06,85.84,公寓(5樓含以下無電梯),一層/三層
賢聚４０之３號三樓,2018/5/16,470.0,20.2,23.27,85.71,公寓(5樓含以下無電梯),三層/三層
賢聚４０之３號二樓,2018/5/16,450.0,19.3,23.27,85.71,公寓(5樓含以下無電梯),二層/三層
賢聚４０之５號,2018/5/16,470.0,20.2,23.27,85.71,公寓(5樓含以下無電梯),一層/三層
賢聚４２之７號二樓,2018/5/16,670.0,19.7,34.06,85.84,公寓(5樓含以下無電梯),二層/三層
賢聚４２之７號三樓,2018/5/16,700.0,20.5,34.06,85.84,公寓(5樓含以下無電梯),三層/三層
賢聚４２之８號二樓,2018/5/16,646.5,19.0,34.06,85.84,公寓(5樓含以下無電梯),二層/三層
賢聚４２之６號三樓,2018/5/16,626.0,20.1,31.09,76.29,華廈(10層含以下有電梯),三層/四層
賢聚４２之５號,2018/5/16,626.0,21.1,29.65,79.99,華廈(10層含以下有電梯),一層/四層
賢聚４２之５號四樓,2018/5/16,670.0,21.5,31.09,76.29,華廈(10層含以下有電梯),四層/四層
賢聚４２之８號,2018/5/16,738.0,21.7,34.06,85.84,公寓(5樓含以下無電梯),一層/三層
珠浦南路４４巷１２弄９號二樓之１,2018/5/11,600.0,26.4,22.76,64.54,華廈(10層含以下有電梯),二層/四層
珠浦西路２２號４樓之１,2018/5/4,400.0,25.6,15.62,79.80,套房(1房(1廳)1衛),四層/五層
珠浦西路５０巷７弄３號二樓,2018/5/2,538.0,22.7,23.68,83.75,公寓(5樓含以下無電梯),二層/四層
後豐港３６之５號,2018/4/24,550.0,19.1,28.78,84.10,公寓(5樓含以下無電梯),一層/三層
小西門１之１１號二樓,2018/4/18,425.0,15.9,26.74,79.05,公寓(5樓含以下無電梯),二層/三層
小西門１之１１號三樓,2018/4/18,425.0,15.9,26.74,79.05,公寓(5樓含以下無電梯),三層/三層
小西門１之１１號,2018/4/18,500.0,18.7,26.74,79.05,公寓(5樓含以下無電梯),一層/三層
金門城１０６之９號五樓,2018/4/12,520.0,20.6,25.2,73.11,華廈(10層含以下有電梯),五層/五層
金門城１０６之１０號五樓,2018/4/12,520.0,20.6,25.2,73.11,華廈(10層含以下有電梯),五層/五層
金門城１０６之９號,2018/4/12,530.0,22.8,23.27,79.16,華廈(10層含以下有電梯),一層/五層
前水頭１３９之３號１樓之６,2018/4/9,3350.0,16.7,200.77,61.13,華廈(10層含以下有電梯),一層/三層
中興路６７巷５之１號三樓,2018/4/2,800.0,28.1,28.52,86.43,公寓(5樓含以下無電梯),三層/三層
金門城１０６之９號四樓,2018/3/31,480.0,19.1,25.2,73.11,華廈(10層含以下有電梯),四層/五層
珠浦南路７４巷２１號３樓,2018/3/7,725.0,23.8,30.43,60.66,公寓(5樓含以下無電梯),三層/四層
珠浦南路７４巷２７號,2018/2/13,460.0,44.1,10.43,82.05,華廈(10層含以下有電梯),一層/五層
小西門４６號２樓,2018/2/6,420.0,15.2,27.57,93.78,公寓(5樓含以下無電梯),二層/三層
小西門４７號２樓,2018/2/6,420.0,15.1,27.85,90.78,公寓(5樓含以下無電梯),二層/三層
慈湖路一段１巷３號二樓,2018/1/17,470.0,23.9,19.7,52.62,套房(1房(1廳)1衛),二層/三層
慈湖路一段１巷５號二樓,2018/1/17,500.0,23.8,21.04,50.90,套房(1房(1廳)1衛),二層/三層
珠浦南路７４巷３７號四樓,2018/1/11,720.0,22.2,32.42,77.81,公寓(5樓含以下無電梯),四層/五層
民權路２２６巷２弄１２號八樓之５,2018/12/15,1824.0,34.8,59.63,66.86,住宅大樓(11層含以上有電梯),八層/十一層
民生路２５號五樓之７,2018/11/27,262.0,20.9,12.52,79.10,套房(1房(1廳)1衛),五層/十二層
民權路２２６巷２弄１５號六樓,2018/11/25,1070.0,26.8,39.88,64.58,華廈(10層含以下有電梯),六層/十層
民權路２２６巷２弄１３號六樓,2017/11/24,1058.0,26.5,39.88,64.58,華廈(10層含以下有電梯),六層/十層
中興路２０５巷１７號四樓,2017/11/22,680.0,25.8,26.4,82.01,公寓(5樓含以下無電梯),四層/四層
小古崗１９之１０號２樓,2017/11/20,430.0,13.7,31.44,85.16,公寓(5樓含以下無電梯),二層/三層
民權路２２６巷２弄１３號,2017/11/6,2000.0,52.6,38.03,67.72,華廈(10層含以下有電梯),一層/十層
民權路２２６巷２弄１５號,2017/11/6,2000.0,52.6,38.03,67.72,華廈(10層含以下有電梯),一層/十層
民權路２２６巷２弄１２號三樓之２,2017/10/30,838.0,32.2,26.05,70.75,住宅大樓(11層含以上有電梯),三層/十一層
小古崗１９之１０號,2017/10/30,445.0,15.3,29.15,91.85,公寓(5樓含以下無電梯),一層/三層
小古崗１９之１０號３樓,2017/10/30,450.0,14.3,31.44,85.16,公寓(5樓含以下無電梯),三層/三層
珠浦北路４６之２號五樓,2017/10/27,1180.0,24.1,48.93,52.46,華廈(10層含以下有電梯),五層/七層
珠浦北路４６之２號三樓,2017/10/25,1200.0,24.5,48.93,52.46,華廈(10層含以下有電梯),三層/七層
珠浦北路４６之２號四樓,2017/10/18,1180.0,24.1,48.93,52.46,華廈(10層含以下有電梯),四層/七層
珠浦北路４６之２號六樓,2017/10/18,1180.0,24.1,48.93,52.46,華廈(10層含以下有電梯),六層/七層
中興路２０５巷１７號四樓,2017/10/11,800.0,30.3,26.4,82.01,公寓(5樓含以下無電梯),四層/四層
光前路７６巷１號四樓,2017/10/3,750.0,23.5,31.91,60.69,華廈(10層含以下有電梯),四層/七層
珠浦西路９６巷１５號３樓,2017/9/27,755.0,24.7,30.62,83.99,公寓(5樓含以下無電梯),三層/四層
西海路三段１０６巷７弄５號二樓之１,2017/9/13,630.0,20.6,30.58,79.45,公寓(5樓含以下無電梯),二層/三層
珠浦西路９６巷１５號２樓,2017/9/12,780.0,24.9,31.33,84.08,公寓(5樓含以下無電梯),二層/四層
民權路２２６巷２弄１２號六樓之５,2017/8/30,1249.0,32.2,38.77,68.44,住宅大樓(11層含以上有電梯),六層/十一層
民權路２２６巷２弄１２號六樓之３,2017/8/30,1249.0,32.2,38.77,68.44,住宅大樓(11層含以上有電梯),六層/十一層
金水里前水頭１３９之３號１樓之６,2017/8/21,9400.0,15.0,627.93,58.52,華廈(10層含以下有電梯),一層/三層
賢聚４２之６號四樓,2017/7/20,704.0,22.6,31.09,76.29,華廈(10層含以下有電梯),四層/四層
環島北路一段３８巷１弄５號,2017/6/30,550.0,28.2,19.49,81.78,公寓(5樓含以下無電梯),一層/三層
民權路２２６巷２弄１３號四樓,2017/6/27,890.0,22.3,39.88,64.58,華廈(10層含以下有電梯),四層/十層
小西門８之５號三樓,2017/6/22,570.0,17.0,33.51,83.04,公寓(5樓含以下無電梯),三層/三層
珠浦西路９４巷１１之２號４樓,2017/6/22,442.0,24.7,17.91,70.16,公寓(5樓含以下無電梯),四層/四層
小古崗１７之６號２樓,2017/6/16,483.9,14.8,32.66,82.85,公寓(5樓含以下無電梯),二層/三層
西海路三段１０６巷１７弄１０號,2017/5/16,640.0,18.3,34.89,65.17,公寓(5樓含以下無電梯),一層/三層
西海路三段１０６巷１７弄１０號二樓,2017/5/16,635.0,16.6,38.28,58.68,公寓(5樓含以下無電梯),二層/三層
西海路三段１０６巷７弄３號,2017/5/3,690.0,24.1,28.59,82.67,公寓(5樓含以下無電梯),一層/三層
西海路三段１０６巷１７弄３號,2017/4/26,520.0,14.9,34.89,65.17,公寓(5樓含以下無電梯),一層/三層
西海路三段１０６巷１７弄３號三樓,2017/4/26,600.0,15.7,38.28,58.68,公寓(5樓含以下無電梯),三層/三層
西海路三段１０６巷１７弄５號二樓,2017/4/26,500.0,13.2,38.02,59.13,公寓(5樓含以下無電梯),二層/三層
西海路三段１０６巷１７弄１０號三樓,2017/4/26,530.0,13.8,38.28,58.68,公寓(5樓含以下無電梯),三層/三層
西海路三段１０６巷１７弄９號,2017/4/26,480.0,13.8,34.89,65.17,公寓(5樓含以下無電梯),一層/三層
西海路三段１０６巷１７弄９號二樓,2017/4/26,460.0,12.1,38.02,59.13,公寓(5樓含以下無電梯),二層/三層
西海路三段１０６巷１７弄９號三樓,2017/4/26,460.0,12.2,37.66,59.13,公寓(5樓含以下無電梯),三層/三層
西海路三段１０６巷１７弄７號,2017/4/26,620.0,15.0,41.42,65.62,公寓(5樓含以下無電梯),一層/三層
西海路三段１０６巷１７弄８號三樓,2017/4/26,680.0,15.9,42.85,63.66,公寓(5樓含以下無電梯),三層/三層
