地段位置或門牌,社區簡稱,交易年月,總價(萬元),單價,總面積,主建物佔比,型態,屋齡,樓別/樓高,交易標的,交易筆棟數,建物現況格局,車位總價,管理組織,電梯,主要用途,備註
金門城２２８號二樓,,111/11/01,480,20.4,23.5,73.75%,華廈(10層含以下有電梯),1,二層/五層,房地(土地+建物),土:1 建:1車:0,2房2廳2衛,,無,有,住家用,
西海路三段３９巷２弄３號二樓,,111/11/01,660,20.5,32.21,73.74%,華廈(10層含以下有電梯),1,二層/五層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,有,住家用,土地264萬元，建物396萬元 契稅12648元由賣方支付
伯玉路一段２８３號,,111/10/28,940,0,32.67,,透天厝,27,全/二層,房地(土地+建物),土:2 建:1車:0,4房2廳2衛,,無,無,住家用,
民權路１２２巷１弄６之１號四樓之１,,111/10/26,350,32.2,10.85,75.08%,公寓(5樓含以下無電梯),12,四層/四層,房地(土地+建物),土:1 建:1車:0,1房1廳1衛,,無,無,住家用,
小古崗１９之９號三樓,,111/10/26,560,20.3,27.62,86.83%,公寓(5樓含以下無電梯),6,三層/三層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,
金門城１１３之３號,,111/10/20,375,15.2,24.7,88.50%,公寓(5樓含以下無電梯),10,一層/三層,房地(土地+建物),土:1 建:2車:0,2房2廳2衛,,無,無,住家用,
林湖路２９８之３號,,111/10/17,1030,0,54.05,,透天厝,7,全/三層,房地(土地+建物),土:1 建:1車:0,5房2廳5衛,,無,無,住家用,親友、員工、共有人或其他特殊關係間之交易;
山前１１之１號２樓,,111/10/11,700,22.4,31.28,88.66%,公寓(5樓含以下無電梯),1,二層/三層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,建物第一次登記後移轉
和平新村５４號,,111/10/08,800,0,76.86,,透天厝,23,全/四層,房地(土地+建物),土:1 建:1車:0,4房2廳4衛,,無,無,住家用,
金門城２２８號三樓,,111/10/06,490,20.8,23.5,73.75%,華廈(10層含以下有電梯),1,三層/五層,房地(土地+建物),土:1 建:1車:0,2房2廳2衛,,無,有,住家用,
山前１１之２號２樓,,111/10/05,613,19.6,31.28,88.66%,公寓(5樓含以下無電梯),,二層/三層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,建物第一次登記後移轉
浯江北堤路３１號六樓,,111/10/03,1200,28.3,42.33,56.75%,華廈(10層含以下有電梯),6,六層/七層,房地(土地+建物),土:1 建:1車:0,2房1廳2衛,,有,有,辦公用,預售屋、或土地及建物分件登記案件;
浯江北堤路３１號七樓,,111/10/03,1250,25.6,48.77,61.11%,華廈(10層含以下有電梯),6,"七層,見其他登記事項/七層",房地(土地+建物),土:1 建:1車:0,3房1廳3衛,,有,有,辦公用,預售屋、或土地及建物分件登記案件;
民權路１２２巷１弄６號二樓,,111/10/03,630,28.3,22.23,78.87%,公寓(5樓含以下無電梯),12,二層/四層,房地(土地+建物),土:1 建:1車:0,2房1廳2衛,,無,無,住家用,
山前７０號,,111/10/03,1300,0,81.74,,透天厝,8,全/三層,房地(土地+建物),土:1 建:1車:0,4房2廳2衛,,無,無,住家用,
中興路１６１巷７號２樓,,111/10/01,740,20.9,35.46,87.54%,公寓(5樓含以下無電梯),24,二層/五層,房地(土地+建物),土:2 建:1車:0,2房2廳2衛,,無,無,住家用,
西海路三段７２巷１弄７號,,111/09/30,1040,0,60.74,,透天厝,27,全/三層,房地(土地+建物),土:1 建:1車:0,5房3廳3衛,,無,無,住家用,含裝潢費;其他增建;
西海路三段３９巷２弄５號五樓,,111/09/27,680,21.1,32.16,73.70%,華廈(10層含以下有電梯),1,五層/五層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,有,住家用,
民權路１４０號,,111/09/25,2600,0,49,,透天厝,,全/三層,房地(土地+建物),土:1 建:1車:0,4房1廳3衛,,無,無,住商用,
金門城１０３之５號二樓,,111/09/23,590,18.9,31.22,73.48%,華廈(10層含以下有電梯),1,二層/三層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,有,住家用,
