地段位置或門牌,社區簡稱,交易年月,總價(萬元),單價,總面積,主建物佔比,型態,屋齡,樓別/樓高,交易標的,交易筆棟數,建物現況格局,車位總價,管理組織,電梯,主要用途,備註
民權路２２６巷２弄１２號五樓之３,熙鼎御苑,109/04/16,1210,31.2,38.77,68.44%,住宅大樓(11層含以上有電梯),3,五層/十一層,房地(土地+建物),土:2 建:1車:0,3房2廳2衛,,有,無,住家用,
民權路２２６巷２弄１２號五樓之５,熙鼎御苑,109/04/16,1210,31.2,38.77,68.44%,套房(1房(1廳)1衛),3,五層/十一層,房地(土地+建物),土:2 建:1車:0,3房2廳2衛,,無,無,住家用,
民權路２２６巷２弄１２號五樓之６,熙鼎御苑,109/04/16,810,31.1,26.05,70.74%,住宅大樓(11層含以上有電梯),3,五層/十一層,房地(土地+建物),土:2 建:1車:0,2房2廳1衛,,有,無,住家用,
庵前３５之５號,,109/04/12,920,0,50.61,,透天厝,,全/三層,房地(土地+建物),土:1 建:1車:0,4房2廳5衛,,無,無,住家用,建物第一次登記後移轉
庵前３５之７號,,109/04/12,1000,0,49.97,,透天厝,,全/三層,房地(土地+建物),土:1 建:1車:0,4房2廳5衛,,無,無,住家用,建物第一次登記後移轉
庵前３５之９號,,109/04/12,1030,0,51.84,,透天厝,,全/三層,房地(土地+建物),土:1 建:1車:0,4房2廳5衛,,無,無,住家用,建物第一次登記後移轉 2個法定停車位約定專用
庵前３５之８號,,109/04/12,970,0,50,,透天厝,,全/三層,房地(土地+建物),土:1 建:1車:0,5房1廳5衛,,無,無,住家用,建物第一次登記後移轉
庵前３５之６號,,109/04/12,980,0,49.97,,透天厝,,全/三層,房地(土地+建物),土:1 建:1車:0,4房2廳5衛,,無,無,住家用,建物第一次登記後移轉
民權路３０巷６弄１號,,109/04/10,750,19.1,39.2,88.97%,公寓(5樓含以下無電梯),13,一層/五層,房地(土地+建物),土:1 建:1車:0,1房0廳1衛,,無,無,商業用,
金城新莊７巷１６號,,109/04/07,1576,0,60.25,,透天厝,20,全/三層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住商用,
庵前４２之２號二樓,,109/04/07,650,18.1,35.81,74.96%,華廈(10層含以下有電梯),,二層/五層,房地(土地+建物),土:2 建:1車:0,3房2廳2衛,,無,有,住家用,
中興路２０５巷１８號六樓,群力建設-傑仕堡,109/04/06,405,24.4,16.59,79.19%,華廈(10層含以下有電梯),9,六層/七層,房地(土地+建物),土:1 建:1車:0,1房1廳1衛,,無,無,住家用,
金門城６８之７號,,109/04/02,444,19.2,23.12,92.01%,公寓(5樓含以下無電梯),3,一層/三層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,
大古崗１２６號三樓,,109/04/01,600,19.9,30.17,68.91%,華廈(10層含以下有電梯),,三層/五層,房地(土地+建物),土:3 建:1車:0,3房2廳2衛,,無,有,住家用,建物第一次登記後移轉
庵前４２之２號三樓,,109/03/26,688,19.2,35.81,74.96%,華廈(10層含以下有電梯),,三層/五層,房地(土地+建物),土:2 建:1車:0,3房2廳2衛,,無,有,住家用,
民權路２２６巷４弄１７號２樓,,109/03/23,650,30.7,21.2,73.36%,公寓(5樓含以下無電梯),7,二層/五層,房地(土地+建物),土:1 建:1車:0,2房1廳2衛,,無,無,辦公用,
環島北路一段３８巷１弄７號,,109/03/17,1038,56.5,18.38,80.67%,公寓(5樓含以下無電梯),24,一層/三層,房地(土地+建物),土:1 建:1車:0,1房1廳1衛,,無,無,住家用,
環島北路一段３８巷１弄９號,,109/03/17,1000,56.6,17.68,79.91%,公寓(5樓含以下無電梯),24,一層/三層,房地(土地+建物),土:1 建:1車:0,1房1廳1衛,,無,無,住家用,
浴井５５號,,109/03/09,620,19.3,32.15,73.92%,華廈(10層含以下有電梯),,一層/四層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,有,住家用,建物第一次登記後移轉
環島西路二段５５１巷１００弄９０之７號,,109/03/07,1500,23.8,62.96,,其他,5,"一層,二層,三層/三層",房地(土地+建物),土:7 建:1車:0,9房0廳9衛,,無,無,農業用,
賢聚４０之３號,,109/03/05,400,17.2,23.27,85.71%,公寓(5樓含以下無電梯),2,一層/三層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,
賢聚４２之６號,,109/03/03,600,20.2,29.65,79.99%,華廈(10層含以下有電梯),2,一層/四層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,
浯江路１８號３樓,,109/03/01,530,20.3,26.17,86.42%,公寓(5樓含以下無電梯),11,三層/三層,房地(土地+建物),土:2 建:1車:0,3房2廳2衛,,無,無,住家用,
小西門３之６號,,109/02/25,810,0,49.61,,透天厝,4,全/三層,房地(土地+建物),土:1 建:1車:0,7房2廳5衛,,無,無,住家用,土地及建物分次登記案件。前案土地登記收件字號：;
珠浦南路４４巷１２弄９號,天后御品,109/02/24,390,52.3,7.45,77.79%,華廈(10層含以下有電梯),2,一層/四層,房地(土地+建物),土:1 建:1車:0,1房1廳1衛,,無,無,商業用,
小西門４７號二樓,,109/02/23,450,16.2,27.85,90.78%,公寓(5樓含以下無電梯),6,二層/三層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,
民族路２４６巷３號,,109/02/19,310,23.7,13.07,74.59%,公寓(5樓含以下無電梯),5,一層/四層,房地(土地+建物),土:1 建:1車:0,1房1廳1衛,,無,無,辦公用,
金門城２０５號三樓,,109/02/18,530,18.9,27.98,76.39%,華廈(10層含以下有電梯),1,三層/五層,房地(土地+建物),土:1 建:1車:0,3房1廳2衛,,無,無,住家用,
金門城２０３號三樓,,109/02/18,400,19,21,81.05%,華廈(10層含以下有電梯),1,三層/五層,房地(土地+建物),土:1 建:1車:0,2房1廳2衛,,無,無,住家用,
西門里珠浦西路６巷３弄５號,祥瑞典藏,109/02/15,4300,33.3,129,82.68%,華廈(10層含以下有電梯),5,"一層,二層,見其他登記事項/十層",房地(土地+建物),土:1 建:1車:0,,,有,無,其他,
大古崗９６之２號三樓,,109/02/11,500,18.5,27.08,76.20%,華廈(10層含以下有電梯),1,三層/五層,房地(土地+建物),土:2 建:1車:0,2房2廳2衛,,無,無,住家用,
珠浦南路７４巷１０之２號三樓,,109/02/05,650,22.8,28.53,82.29%,公寓(5樓含以下無電梯),18,三層/四層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,
民族路１１８號,,109/02/05,220,12.8,17.18,,店面（店舖),27,"一層,二層,三層/三層",房地(土地+建物),土:3 建:1車:0,2房2廳2衛,,無,無,住家用,親友、員工或其他特殊關係間之交易。;
小西門５０之５號三樓,,109/02/04,560,18.2,30.69,81.43%,公寓(5樓含以下無電梯),2,三層/三層,房地(土地+建物),土:1 建:1車:0,2房2廳2衛,,無,無,住家用,預售屋、或土地及建物分件登記案件;
浴井５１號二樓,,109/02/03,600,19.8,30.27,79.96%,華廈(10層含以下有電梯),,二層/五層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,建物第一次登記後移轉
浴井５２號四樓,,109/02/03,640,21.5,29.81,80.62%,華廈(10層含以下有電梯),,四層/五層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,建物第一次登記後移轉
浴井５２號三樓,,109/02/03,600,20.1,29.81,80.62%,華廈(10層含以下有電梯),,三層/五層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,建物第一次登記後移轉
浴井５１號三樓,,109/02/03,640,21.1,30.27,79.96%,華廈(10層含以下有電梯),,三層/五層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,建物第一次登記後移轉
浴井５２號二樓,,109/02/03,640,21.5,29.81,80.62%,華廈(10層含以下有電梯),,二層/五層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,建物第一次登記後移轉
金門城２０５號五樓,,109/01/21,550,19.7,27.98,76.39%,華廈(10層含以下有電梯),1,五層/五層,房地(土地+建物),土:1 建:1車:0,3房1廳2衛,,無,無,住家用,
浴井８３號二樓,,109/01/18,560,21.3,26.28,82.36%,公寓(5樓含以下無電梯),1,二層/三層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,
小西門５０之６號三樓,,109/01/17,510,19.3,26.44,79.05%,公寓(5樓含以下無電梯),1,三層/三層,房地(土地+建物),土:1 建:1車:0,2房2廳2衛,,無,無,住家用,土地及建物分次登記案件。前案土地登記收件字號：;
金門城８２之８號三樓,,109/01/16,475,15.6,30.42,85.25%,公寓(5樓含以下無電梯),8,三層/三層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,
浴井８３號三樓,,109/01/16,580,22.1,26.28,82.36%,公寓(5樓含以下無電梯),1,三層/三層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,
浴井８５號三樓,,109/01/10,540,23.6,22.9,81.04%,公寓(5樓含以下無電梯),1,三層/三層,房地(土地+建物),土:1 建:1車:0,2房2廳2衛,,無,無,住家用,
民權路２２６巷２弄１２號三樓之５,熙鼎御苑,108/12/25,1228,31.7,38.77,68.44%,住宅大樓(11層含以上有電梯),3,三層/十一層,房地(土地+建物),土:2 建:1車:0,3房2廳2衛,,無,無,住家用,
西海路三段１０６巷７弄１號二樓之１,延平,108/12/24,660,21.6,30.58,79.45%,公寓(5樓含以下無電梯),4,二層/三層,房地(土地+建物),土:2 建:1車:0,3房1廳1衛,,無,無,住家用,
大古崗１２６號,,108/12/21,525,18.1,29,71.70%,華廈(10層含以下有電梯),,一層/五層,房地(土地+建物),土:3 建:1車:0,3房2廳2衛,,無,有,住家用,建物第一次登記後移轉
金門城５之１１號,,108/12/20,400,20.4,19.58,,公寓(5樓含以下無電梯),5,一層/三層,房地(土地+建物),土:1 建:1車:0,2房1廳2衛,,無,無,住家用,受債權債務影響或債務抵償之交易。;
珠浦西路２２號５樓,,108/12/12,620,25.1,24.68,78.17%,公寓(5樓含以下無電梯),20,五層/五層,房地(土地+建物),土:1 建:1車:0,2房1廳1衛,,無,無,住家用,
環島北路一段３８巷１６弄２號３樓,,108/11/24,580,18.3,31.72,89.24%,公寓(5樓含以下無電梯),24,三層/三層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,
小西門５０之３號三樓,,108/11/19,500,18.9,26.44,79.05%,公寓(5樓含以下無電梯),1,三層/三層,房地(土地+建物),土:1 建:1車:0,2房2廳2衛,,無,無,住家用,土地及建物分次登記案件。前案土地登記收件字號：;
民生路２５號１０樓之２,金門金信大樓住戶,108/11/11,670,21.1,31.73,,辦公商業大樓,19,十層/十二層,房地(土地+建物),土:1 建:1車:0,2房1廳1衛,,有,無,其他,
小西門４６號二樓,,108/11/10,450,16.3,27.57,93.78%,公寓(5樓含以下無電梯),6,二層/三層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,有,無,住家用,
庵前４３之５號二樓,,108/11/08,310,21.5,14.44,86.01%,公寓(5樓含以下無電梯),4,二層/三層,房地(土地+建物),土:1 建:1車:0,1房1廳1衛,,無,無,住家用,
山前６５號三樓,,108/11/06,500,20,25.01,75.86%,公寓(5樓含以下無電梯),5,三層/三層,房地(土地+建物),土:1 建:1車:0,3房1廳1衛,,無,無,住家用,
金門城２０６號二樓,,108/10/29,530,18.7,28.32,75.00%,華廈(10層含以下有電梯),1,二層/五層,房地(土地+建物),土:1 建:1車:0,3房1廳2衛,,無,無,住家用,建物第一次登記後移轉
西海路三段７２巷４弄１３號,,108/10/28,770,0,59.25,,透天厝,25,全/三層,房地(土地+建物),土:2 建:1車:0,6房3廳3衛,,無,無,住家用,
西海路三段７２巷１弄７號,,108/10/27,600,0,60.74,,透天厝,24,全/三層,房地(土地+建物),土:1 建:1車:0,5房3廳3衛,,無,無,住家用,親友、員工或其他特殊關係間之交易。;
金門城２０６號五樓,,108/10/24,493,17.4,28.32,75.00%,華廈(10層含以下有電梯),1,五層/五層,房地(土地+建物),土:1 建:1車:0,3房1廳2衛,,無,無,住家用,建物第一次登記後移轉
浴井８５號二樓,,108/10/21,510,22.3,22.92,80.96%,公寓(5樓含以下無電梯),,二層/三層,房地(土地+建物),土:1 建:1車:0,2房2廳2衛,,無,無,住家用,建物第一次登記後移轉
金門城３３號３樓,,108/10/15,500,17.6,28.38,84.56%,公寓(5樓含以下無電梯),1,三層/三層,房地(土地+建物),土:1 建:1車:0,3房1廳2衛,,無,無,住家用,
庵前４２之２號四樓,,108/10/15,660,18.4,35.81,74.96%,華廈(10層含以下有電梯),,四層/五層,房地(土地+建物),土:2 建:1車:0,3房2廳2衛,,無,有,住家用,
大古崗９６之１號五樓,,108/10/08,601,17.5,34.36,79.30%,華廈(10層含以下有電梯),,五層/五層,房地(土地+建物),土:2 建:1車:0,3房2廳2衛,,無,無,住家用,
西海路三段１０６巷１８弄６號,,108/10/07,1040,0,46.09,,透天厝,10,全/三層,房地(土地+建物),土:1 建:1車:0,4房2廳4衛,,無,無,住家用,
大古崗９６之２號五樓,,108/10/03,550,20.3,27.08,76.20%,華廈(10層含以下有電梯),,五層/五層,房地(土地+建物),土:2 建:1車:0,2房2廳2衛,,無,無,住家用,
大古崗９６之３號三樓,,108/10/03,590,16.7,35.31,75.02%,華廈(10層含以下有電梯),,三層/五層,房地(土地+建物),土:2 建:1車:0,3房2廳2衛,,無,無,住家用,
大古崗９６之２號四樓,,108/10/03,460,17,27.08,76.20%,華廈(10層含以下有電梯),,四層/五層,房地(土地+建物),土:2 建:1車:0,2房2廳2衛,,無,無,住家用,
大古崗９６之１號二樓,,108/10/03,687,20,34.36,79.30%,華廈(10層含以下有電梯),,二層/五層,房地(土地+建物),土:2 建:1車:0,3房2廳2衛,,無,無,住家用,
大古崗９６之３號,,108/10/03,656,19.1,34.37,80.24%,華廈(10層含以下有電梯),,一層/五層,房地(土地+建物),土:2 建:1車:0,3房1廳2衛,,無,無,住家用,
大古崗９６之３號二樓,,108/10/03,620,17.6,35.31,75.02%,華廈(10層含以下有電梯),,二層/五層,房地(土地+建物),土:2 建:1車:0,3房2廳2衛,,無,無,住家用,
大古崗９６之３號四樓,,108/10/03,620,17.6,35.31,75.02%,華廈(10層含以下有電梯),,四層/五層,房地(土地+建物),土:2 建:1車:0,3房2廳2衛,,無,無,住家用,
大古崗９６之２號三樓,,108/10/03,500,18.5,27.08,76.20%,華廈(10層含以下有電梯),,三層/五層,房地(土地+建物),土:2 建:1車:0,2房2廳2衛,,無,無,住家用,
大古崗９６之１號四樓,,108/10/03,580,16.9,34.36,79.30%,華廈(10層含以下有電梯),,四層/五層,房地(土地+建物),土:2 建:1車:0,3房2廳2衛,,無,無,住家用,
大古崗９６之２號二樓,,108/10/03,500,18.5,27.08,76.20%,華廈(10層含以下有電梯),,二層/五層,房地(土地+建物),土:2 建:1車:0,2房2廳2衛,,無,無,住家用,
大古崗９６之２號,,108/10/03,500,19.1,26.14,80.31%,華廈(10層含以下有電梯),,一層/五層,房地(土地+建物),土:2 建:1車:0,2房2廳2衛,,無,無,住家用,
大古崗９６之３號五樓,,108/09/26,548,15.5,35.31,75.02%,華廈(10層含以下有電梯),,五層/五層,房地(土地+建物),土:2 建:1車:0,3房2廳2衛,,無,無,住家用,
民生路４５巷３號四樓,,108/09/24,660,25.3,26.14,85.97%,公寓(5樓含以下無電梯),14,四層/四層,房地(土地+建物),土:1 建:1車:0,3房2廳3衛,,無,無,住家用,
小西門４７號,,108/09/21,500,17.9,27.89,90.79%,公寓(5樓含以下無電梯),6,一層/三層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,有,無,住家用,
小古崗３３之８號二樓,,108/09/20,480,17.2,27.93,76.84%,公寓(5樓含以下無電梯),1,二層/三層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,
小西門５之１號三樓,,108/09/17,370,13.8,26.87,82.32%,公寓(5樓含以下無電梯),,三層/三層,房地(土地+建物),土:1 建:2車:0,3房2廳3衛,,無,無,住家用,
浴井３６號,,108/09/16,455,20.7,21.94,87.12%,公寓(5樓含以下無電梯),2,一層/三層,房地(土地+建物),土:1 建:1車:0,2房1廳2衛,,無,無,住家用,
小古崗３３之７號三樓,,108/09/11,506,19.5,25.93,83.15%,公寓(5樓含以下無電梯),1,三層/三層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,
小古崗３３之６號三樓,,108/09/11,506,19.4,26.12,83.28%,公寓(5樓含以下無電梯),1,三層/三層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,
金門城２０３號四樓,,108/08/30,390,18.6,21,81.05%,華廈(10層含以下有電梯),,四層/五層,房地(土地+建物),土:1 建:1車:0,2房1廳2衛,,無,無,住家用,建物第一次登記後移轉
金門城２０３號五樓,,108/08/30,357,17,21,81.05%,華廈(10層含以下有電梯),,五層/五層,房地(土地+建物),土:1 建:1車:0,2房1廳2衛,,無,無,住家用,建物第一次登記後移轉
金門城２０６號四樓,,108/08/30,560,19.8,28.32,75.00%,華廈(10層含以下有電梯),,四層/五層,房地(土地+建物),土:1 建:1車:0,3房1廳2衛,,無,無,住家用,建物第一次登記後移轉
金門城２０３號,,108/08/30,450,21.4,21,81.05%,華廈(10層含以下有電梯),,一層/五層,房地(土地+建物),土:1 建:1車:0,2房1廳2衛,,無,無,住家用,建物第一次登記後移轉
莒光路２８號,,108/08/24,760,0,10.81,,透天厝,67,全/二層,房地(土地+建物),土:2 建:1車:0,,,無,無,住商用,含增建或未登記建物。;
中興路５４號,,108/08/09,420,0,20.87,,透天厝,57,全/三層,房地(土地+建物),土:2 建:1車:0,1房1廳1衛,,無,無,住商用,親友、員工或其他特殊關係間之交易。;
金門城３３之３號三樓,,108/08/07,490,17.3,28.38,84.56%,公寓(5樓含以下無電梯),1,三層/三層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,
環島北路一段３８巷１６弄５號,,108/07/28,660,20.9,31.64,89.46%,公寓(5樓含以下無電梯),24,一層/三層,房地(土地+建物),土:2 建:1車:0,3房2廳2衛,,無,無,住家用,
環島北路一段９０巷３弄２１號,,108/07/24,825,0,45.99,,透天厝,24,全/三層,房地(土地+建物),土:4 建:1車:0,4房3廳2衛,,無,無,住家用,
賢聚４２之８號三樓,,108/07/23,670,19.7,34.06,85.84%,公寓(5樓含以下無電梯),1,三層/三層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,
民族路１５５號,,108/07/22,800,0,27.21,,透天厝,52,全/二層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,其他,含增建或未登記建物。;
小古崗１９之９號,,108/07/10,580,22.2,26.09,91.93%,公寓(5樓含以下無電梯),2,一層/三層,房地(土地+建物),土:1 建:1車:0,3房2廳1衛,,無,無,住家用,
賢安里浴井３２號,,108/07/08,450,20.9,21.58,93.27%,公寓(5樓含以下無電梯),2,一層/三層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,
小西門５７３號,,108/07/05,1100,0,52.21,,透天厝,8,全/三層,房地(土地+建物),土:4 建:1車:0,3房1廳3衛,,無,無,住家用,
民權路２２６巷５弄２２號５樓,,108/07/04,910,29,31.43,78.69%,華廈(10層含以下有電梯),11,五層/五層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,含增建或未登記建物。;
賢聚４２之５號二樓,,108/07/03,650,20.9,31.09,76.29%,華廈(10層含以下有電梯),1,二層/四層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,
金門城２０６號三樓,,108/07/03,541,19.1,28.32,75.00%,華廈(10層含以下有電梯),,三層/五層,房地(土地+建物),土:1 建:1車:0,3房1廳2衛,,無,無,住家用,建物第一次登記後移轉
小古崗３３之７號二樓,,108/06/30,460,17.7,25.93,83.15%,公寓(5樓含以下無電梯),1,二層/三層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,建物第一次登記後移轉
小古崗３３之７號,,108/06/28,510,19.7,25.93,83.15%,公寓(5樓含以下無電梯),1,一層/三層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,建物第一次登記後移轉
浴井３１號三樓,,108/06/24,460,19.8,23.25,84.91%,公寓(5樓含以下無電梯),2,三層/三層,房地(土地+建物),土:1 建:1車:0,2房2廳2衛,,無,無,住家用,
民族路９３巷５弄３７號,,108/06/21,1550,0,58.53,,透天厝,39,全/三層,房地(土地+建物),土:1 建:1車:0,2房2廳2衛,,無,無,住商用,
民權路１２２巷５弄８之２號,,108/06/17,122,24.6,4.97,65.04%,華廈(10層含以下有電梯),6,一層/五層,房地(土地+建物),土:1 建:1車:0,,,無,無,商業用,店舖無隔間
民權路１２２巷５弄８之２號二樓,,108/06/17,282,24.8,11.35,55.97%,華廈(10層含以下有電梯),6,二層/五層,房地(土地+建物),土:1 建:1車:0,2房1廳1衛,,無,無,住家用,
民權路１２２巷５弄８之２號三樓,,108/06/17,282,24.8,11.35,55.97%,華廈(10層含以下有電梯),6,三層/五層,房地(土地+建物),土:1 建:1車:0,2房1廳1衛,,無,無,住家用,
民權路１２２巷５弄８之２號五樓,,108/06/17,232,24.8,9.36,62.77%,華廈(10層含以下有電梯),6,"五層,見其他登記事項/五層",房地(土地+建物),土:1 建:1車:0,1房1廳1衛,,無,無,辦公用,
民權路１２２巷５弄８之２號四樓,,108/06/17,282,24.8,11.35,55.97%,華廈(10層含以下有電梯),6,四層/五層,房地(土地+建物),土:1 建:1車:0,2房1廳1衛,,無,無,住家用,
古城里金門城３３之３號２樓,,108/06/17,450,15.9,28.38,84.56%,公寓(5樓含以下無電梯),1,二層/三層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,
山前６５號二樓,,108/06/15,500,20,25.01,75.86%,公寓(5樓含以下無電梯),4,二層/三層,房地(土地+建物),土:1 建:1車:0,3房2廳1衛,,無,無,住家用,
民生路２５號六樓之７,金門金信大樓住戶,108/06/13,700,27.5,25.42,,辦公商業大樓,19,六層/十二層,房地(土地+建物),土:1 建:1車:0,2房1廳1衛,,有,無,住家用,
民生路４５巷２弄１號,,108/06/13,400,0,24.02,,透天厝,40,全/三層,房地(土地+建物),土:3 建:1車:0,4房1廳2衛,,無,無,住商用,
民生路４５巷４弄４號,,108/06/13,1000,0,67.19,,透天厝,25,全/三層,房地(土地+建物),土:2 建:1車:0,6房2廳3衛,,無,無,住家用,
金門城８８之１０號二樓,,108/06/06,490,18.6,26.41,77.50%,華廈(10層含以下有電梯),,二層/五層,房地(土地+建物),土:1 建:1車:0,2房2廳2衛,,無,有,住家用,預售屋、或土地及建物分件登記案件;
珠山３８之１號,,108/06/04,60,0,13.1,,透天厝,16,全/二層,房地(土地+建物),土:3 建:1車:0,6房3廳5衛,,無,無,住家用,親友、員工或其他特殊關係間之交易。;
莒光路１３８號,,108/05/28,460,0,14.77,,透天厝,31,全/三層,房地(土地+建物),土:5 建:2車:0,3房2廳2衛,,無,無,住商用,
金門城８８之９號三樓,,108/05/25,449,19.1,23.56,80.58%,華廈(10層含以下有電梯),,三層/五層,房地(土地+建物),土:1 建:1車:0,2房2廳2衛,,無,有,住家用,預售屋、或土地及建物分件登記案件;
珠浦西路６巷６弄３號二樓,,108/05/24,680,28.5,23.82,82.24%,公寓(5樓含以下無電梯),10,二層/五層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,
金門城８０之３號,,108/05/24,950,0,66.25,,透天厝,5,全/三層,房地(土地+建物),土:1 建:1車:0,5房2廳4衛,,無,無,住家用,
林湖路３００之６號,,108/05/23,1000,0,53.65,,透天厝,2,全/三層,房地(土地+建物),土:1 建:1車:0,5房2廳5衛,,無,無,住家用,
東沙１３之１號三樓,,108/05/15,400,14.1,28.31,86.74%,公寓(5樓含以下無電梯),2,三層/三層,房地(土地+建物),土:1 建:1車:0,2房2廳2衛,,無,無,住家用,
浯江路１之１５號,,108/05/13,1225,0,58.24,,農舍,8,"一層,二層,三層/三層",房地(土地+建物),土:1 建:1車:0,6房1廳4衛,,無,無,農業用,
浴井３１號,,108/05/08,470,20.2,23.25,84.91%,公寓(5樓含以下無電梯),2,一層/三層,房地(土地+建物),土:1 建:1車:0,2房2廳2衛,,無,無,住家用,
西海路三段２２巷４弄１３號,,108/05/01,2200,0,187.73,,透天厝,25,全/三層,房地(土地+建物),土:2 建:2車:0,15房2廳16衛,,無,無,住家用,
西海路三段２２巷１０弄６６號,,108/04/29,750,0,59.25,,透天厝,24,全/三層,房地(土地+建物),土:1 建:1車:0,6房2廳3衛,,無,無,住家用,
珠浦西路８４巷５號,,108/04/19,1200.9,0,50.66,,透天厝,41,全/二層,房地(土地+建物),土:1 建:1車:0,5房3廳3衛,,無,無,住家用,
珠浦南路７４巷２９之１號二樓,群力建設城中美墅,108/04/19,478,24.2,19.77,75.23%,華廈(10層含以下有電梯),8,二層/五層,房地(土地+建物),土:1 建:1車:0,3房1廳1衛,,無,無,住家用,
浯江北堤路１６號７樓之３,,108/04/15,660,22.2,29.68,62.38%,華廈(10層含以下有電梯),20,七層/七層,房地(土地+建物),土:1 建:1車:0,3房1廳1衛,,無,無,住家用,
小西門４０號,,108/04/12,412,22.4,18.41,83.53%,公寓(5樓含以下無電梯),1,一層/三層,房地(土地+建物),土:1 建:1車:0,2房1廳1衛,,無,無,住家用,土地及建物分次登記案件。前案土地登記收件字號：;
西海路三段２２巷２７弄１６號,,108/04/11,1500,0,108.16,,透天厝,7,全/二層,房地(土地+建物),土:1 建:1車:0,5房2廳3衛,,無,無,農業用,
珠浦南路５０巷３弄７號四樓,,108/03/27,360,22.2,16.2,63.14%,華廈(10層含以下有電梯),4,四層/五層,房地(土地+建物),土:1 建:1車:0,1房1廳1衛,,無,無,住家用,
西海路三段１０６巷１３弄５號３樓,萬聖,108/03/27,660,20.5,32.25,74.27%,華廈(10層含以下有電梯),,三層/五層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,建物第一次登記後移轉
珠浦南路４４巷１２弄９號二樓之２,,108/03/26,350,39.8,8.79,65.91%,華廈(10層含以下有電梯),1,二層/四層,房地(土地+建物),土:1 建:1車:0,1房1廳1衛,,無,無,住家用,
民族路２４６巷３號３樓,,108/03/26,300,23,13.07,74.59%,公寓(5樓含以下無電梯),4,三層/四層,房地(土地+建物),土:1 建:1車:0,1房1廳1衛,,無,無,辦公用,
浴井７９號二樓,,108/03/19,730,19.4,37.67,87.95%,公寓(5樓含以下無電梯),1,二層/三層,房地(土地+建物),土:6 建:1車:0,3房2廳2衛,,無,無,住家用,土地及建物分次登記案件。前案土地登記收件字號：;
金門城１１６之３號,,108/03/15,500,15.9,31.51,87.95%,公寓(5樓含以下無電梯),4,一層/三層,房地(土地+建物),土:2 建:1車:0,3房2廳1衛,,無,無,住家用,
珠浦西路５０巷１１弄１０號二樓之２,群力建設鳳翔小豪宅,108/03/15,262,21.1,12.41,65.77%,公寓(5樓含以下無電梯),10,二層/四層,房地(土地+建物),土:1 建:1車:0,1房1廳1衛,,無,無,住家用,
金門城８８之８號二樓,,108/03/15,630,18.9,33.33,80.34%,華廈(10層含以下有電梯),,二層/五層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,有,住家用,預售屋、或土地及建物分件登記案件;
小西門５０之６號二樓,,108/03/14,436,16.5,26.44,76.73%,公寓(5樓含以下無電梯),1,二層/三層,房地(土地+建物),土:1 建:1車:0,2房2廳2衛,,無,無,住家用,土地及建物分次登記案件。前案土地登記收件字號：;
西海路三段１０６巷１３弄２號３樓,萬聖,108/03/14,690,20.4,33.78,75.90%,華廈(10層含以下有電梯),,三層/五層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,建物第一次登記後移轉
