Location,Year of transaction,Total price (million),price,Total area,Percentage of main building,Type
小古崗１９之１０號,2017/10/30,445,15.3,29.15,91.85,公寓(5樓含以下無電梯)
小古崗１９之１０號３樓,2017/10/30,450,14.3,31.44,85.16,公寓(5樓含以下無電梯)
珠浦北路４６之２號五樓,2017/10/27,1180,24.1,48.93,52.46,華廈(10層含以下有電梯)
珠浦北路４６之２號三樓,2017/10/25,1200,24.5,48.93,52.46,華廈(10層含以下有電梯)
珠浦北路４６之２號四樓,2017/10/18,1180,24.1,48.93,52.46,華廈(10層含以下有電梯)
珠浦北路４６之２號六樓,2017/10/18,1180,24.1,48.93,52.46,華廈(10層含以下有電梯)
中興路２０５巷１７號四樓,2017/10/11,800,30.3,26.4,82.01,公寓(5樓含以下無電梯)
光前路７６巷１號四樓,2017/10/3,750,23.5,31.91,60.69,華廈(10層含以下有電梯)
珠浦西路９６巷１５號３樓,2017/9/27,755,24.7,30.62,83.99,公寓(5樓含以下無電梯)
西海路三段１０６巷７弄５號二樓之１,2017/9/13,630,20.6,30.58,79.45,公寓(5樓含以下無電梯)
珠浦西路９６巷１５號２樓,2017/9/12,780,24.9,31.33,84.08,公寓(5樓含以下無電梯)
民權路２２６巷２弄１２號六樓之５,2017/8/30,1249,32.2,38.77,68.44,住宅大樓(11層含以上有電梯)
民權路２２６巷２弄１２號六樓之３,2017/8/30,1249,32.2,38.77,68.44,住宅大樓(11層含以上有電梯)
金水里前水頭１３９之３號１樓之６,2017/8/21,9400,15,627.93,58.52,華廈(10層含以下有電梯)
賢聚４２之６號四樓,2017/7/20,704,22.6,31.09,76.29,華廈(10層含以下有電梯)
環島北路一段３８巷１弄５號,2017/6/30,550,28.2,19.49,81.78,公寓(5樓含以下無電梯)
民權路２２６巷２弄１３號四樓,2017/6/27,890,22.3,39.88,64.58,華廈(10層含以下有電梯)
小西門８之５號三樓,2017/6/22,570,17,33.51,83.04,公寓(5樓含以下無電梯)
珠浦西路９４巷１１之２號４樓,2017/6/22,442,24.7,17.91,70.16,公寓(5樓含以下無電梯)
小古崗１７之６號２樓,2017/6/16,483.9,14.8,32.66,82.85,公寓(5樓含以下無電梯)
西海路三段１０６巷１７弄１０號,2017/5/16,640,18.3,34.89,65.17,公寓(5樓含以下無電梯)
西海路三段１０６巷１７弄１０號二樓,2017/5/16,635,16.6,38.28,58.68,公寓(5樓含以下無電梯)
西海路三段１０６巷７弄３號,2017/5/3,690,24.1,28.59,82.67,公寓(5樓含以下無電梯)
西海路三段１０６巷１７弄３號,2017/4/26,520,14.9,34.89,65.17,公寓(5樓含以下無電梯)
西海路三段１０６巷１７弄３號三樓,2017/4/26,600,15.7,38.28,58.68,公寓(5樓含以下無電梯)
西海路三段１０６巷１７弄５號二樓,2017/4/26,500,13.2,38.02,59.13,公寓(5樓含以下無電梯)
西海路三段１０６巷１７弄１０號三樓,2017/4/26,530,13.8,38.28,58.68,公寓(5樓含以下無電梯)
西海路三段１０６巷１７弄９號,2017/4/26,480,13.8,34.89,65.17,公寓(5樓含以下無電梯)
西海路三段１０６巷１７弄９號二樓,2017/4/26,460,12.1,38.02,59.13,公寓(5樓含以下無電梯)
西海路三段１０６巷１７弄９號三樓,2017/4/26,460,12.2,37.66,59.13,公寓(5樓含以下無電梯)
西海路三段１０６巷１７弄７號,2017/4/26,620,15,41.42,65.62,公寓(5樓含以下無電梯)
西海路三段１０６巷１７弄８號三樓,2017/4/26,680,15.9,42.85,63.66,公寓(5樓含以下無電梯)
西海路三段１０６巷１７弄７號三樓,2017/4/26,495,11.6,42.66,63.48,公寓(5樓含以下無電梯)
西海路三段１０６巷１７弄７號二樓,2017/4/26,600,14.1,42.66,63.48,公寓(5樓含以下無電梯)
西海路三段１０６巷１７弄３號二樓,2017/4/26,600,15.7,38.28,58.68,公寓(5樓含以下無電梯)
西海路三段１０６巷１７弄５號三樓,2017/4/26,495,13.1,37.66,59.13,公寓(5樓含以下無電梯)
西海路三段１０６巷１７弄６號,2017/4/26,680,18.2,37.36,65.79,公寓(5樓含以下無電梯)
庵前４３之５號,2017/4/14,340,23.7,14.36,86.48,套房(1房(1廳)1衛)
後豐港４０-５號,2017/4/10,400,23.9,16.76,90.67,公寓(5樓含以下無電梯)
後豐港４０-６號２樓,2017/4/10,400,22.5,17.74,85.69,公寓(5樓含以下無電梯)
後豐港４０之５號二樓,2017/4/10,400,22.5,17.74,85.69,公寓(5樓含以下無電梯)
後豐港４０之５號三樓,2017/4/6,400,22.5,17.74,85.69,公寓(5樓含以下無電梯)
後豐港４０之６號三樓,2017/4/6,400,22.5,17.74,85.69,公寓(5樓含以下無電梯)
古城里金門城３３之３號,2017/1/11,485,18.6,26.08,92.04,公寓(5樓含以下無電梯)
小西門８之５號,2017/1/4,536,17.2,31.2,89.2,公寓(5樓含以下無電梯)
珠浦南路５０巷３弄７號三樓,2016/11/26,410,25.3,16.2,63.14,華廈(10層含以下有電梯)
庵前４２之７號,2016/11/18,380,23,16.52,81.76,公寓(5樓含以下無電梯)
民權路２２６巷２弄１５號二樓,2016/11/16,935,23.4,39.92,64.51,華廈(10層含以下有電梯)
金門城１０６之８號,2016/11/11,530,18.9,28.04,87.02,公寓(5樓含以下無電梯)
民權路１２２巷５弄１號４樓,2016/10/27,843,24.6,34.24,71.87,公寓(5樓含以下無電梯)
金門城１０６之７號二樓,2016/9/12,480,16,30.07,81.16,公寓(5樓含以下無電梯)
西海路三段１０６巷７弄６號,2016/9/1,650,21.4,30.41,79.52,公寓(5樓含以下無電梯)
小西門８之５號二樓,2016/8/22,570,17,33.51,83.04,公寓(5樓含以下無電梯)
金門城１０６之８號三樓,2016/7/29,550,18.3,30.07,81.16,公寓(5樓含以下無電梯)
金門城１０６之７號三樓,2016/7/29,550,18.3,30.07,81.16,公寓(5樓含以下無電梯)
珠浦西路９４巷１１之２號一樓,2016/7/12,780,28.6,27.26,83.49,公寓(5樓含以下無電梯)
珠浦西路９４巷１１之２號二樓,2016/7/2,738,27.1,27.26,83.49,公寓(5樓含以下無電梯)
西海路三段１０６巷７弄５號三樓之２,2016/6/24,650,21.7,29.97,81.39,公寓(5樓含以下無電梯)
庵前４３之２號二樓,2016/5/24,250,12.5,19.95,88.05,公寓(5樓含以下無電梯)
西海路三段１０６巷７弄５號三樓之１,2016/5/16,650,20.3,44.5,79.45,公寓(5樓含以下無電梯)
民族路９３巷５弄４１號,2016/4/30,1150,15.3,75.37,,店面（店舖)
民族路９３巷５弄４３號,2016/4/30,1150,15,76.74,,店面（店舖)
民權路２２６巷５弄２２號３樓,2016/4/26,760,28.6,26.59,93,華廈(10層含以下有電梯)
庵前４３之３號三樓,2016/4/25,265,19.5,13.59,85.56,套房(1房(1廳)1衛)
庵前４３之２號,2016/4/25,365,19.3,18.95,92.69,公寓(5樓含以下無電梯)
庵前４３之３號,2016/4/25,255,20.3,12.54,92.72,套房(1房(1廳)1衛)
庵前４３之３號二樓,2016/4/25,265,19.5,13.59,85.56,套房(1房(1廳)1衛)
西海路三段１０６巷７弄１號三樓之１,2016/4/13,650,21.2,30.72,79.09,公寓(5樓含以下無電梯)
西海路三段１０６巷７弄５號,2016/4/1,730,23.3,43.48,81.21,公寓(5樓含以下無電梯)
西海路三段１０６巷７弄３號二樓,2016/3/31,650,20.8,31.23,77.12,公寓(5樓含以下無電梯)
西海路三段１０６巷７弄１號二樓之１,2016/3/31,650,21.2,30.72,79.09,公寓(5樓含以下無電梯)
西海路三段１０６巷７弄５號二樓之２,2016/3/31,650,21.6,30.1,81.01,公寓(5樓含以下無電梯)
西海路三段１０６巷７弄３號三樓,2016/3/31,685,20.8,46.29,77.11,公寓(5樓含以下無電梯)
珠浦南路５０巷３弄７號二樓,2016/3/28,380,23.5,16.2,63.14,華廈(10層含以下有電梯)
珠浦南路５０巷３弄６號五樓,2016/3/12,420,24.8,16.94,63.52,華廈(10層含以下有電梯)
珠浦南路５０巷３弄７號,2016/3/10,430,27.4,15.67,65.28,華廈(10層含以下有電梯)
民權路２２６巷４弄６號４樓,2016/2/21,970,28.1,34.52,73.57,華廈(10層含以下有電梯)
民權路７０巷１１弄１８號３樓,2016/2/4,875,30,29.19,79.55,公寓(5樓含以下無電梯)
小西門４７號,2014/12/11,490,17.6,27.89,90.79,公寓(5樓含以下無電梯)
中興路１７３巷６之１號,2014/9/23,465,17.3,26.9,,店面（店舖)
環島北路一段３８巷１６弄１號２樓,2014/8/1,480,15.7,30.54,92.69,公寓(5樓含以下無電梯)
小西門４６號３樓,2014/8/1,390,14.1,27.57,93.78,公寓(5樓含以下無電梯)
小西門４８號３樓,2014/8/1,205,14.9,13.78,,公寓(5樓含以下無電梯)
小西門４８號,2014/7/30,260,19.6,13.29,,公寓(5樓含以下無電梯)
珠浦西路６巷２弄１號五樓,2014/7/29,615,24.9,24.65,62.01,公寓(5樓含以下無電梯)
環島北路一段３８巷１６弄１號１樓,2014/7/22,620,19.5,31.71,89.25,公寓(5樓含以下無電梯)
金城新莊３巷１號,2014/7/3,620,27.9,22.2,100,公寓(5樓含以下無電梯)
民生路６７號,2014/6/4,5500,53.5,102.72,,店面（店舖)
環島北路一段３８巷１弄３號３樓,2014/4/25,660,20.5,32.22,88.89,公寓(5樓含以下無電梯)
小西門４８號２樓,2014/4/13,220,14,15.68,77.31,套房(1房(1廳)1衛)
小西門４９號３樓,2014/4/13,410,15.4,26.6,93.77,公寓(5樓含以下無電梯)
小西門４７號３樓,2014/4/13,450,16.2,27.85,90.78,公寓(5樓含以下無電梯)
珠沙里小西門４６號,2014/4/2,380,13.8,27.57,93.78,公寓(5樓含以下無電梯)
小西門４９號二樓,2014/3/19,420,16,26.23,95.09,公寓(5樓含以下無電梯)
